Sanger_ID,Condition,ratioPE
259,E_only,0.353073684
269,E_only,0.245409942
270,E_only,0.326666279
273,E_only,0.305880527
276,E_only,0.311249165
277,E_only,0.314712118
278,E_only,0.349380196
280,E_only,0.228146695
283,E_only,0.309572172
284,E_only,0.19015104
286,E_only,0.315479235
287,E_only,0.277291468
160,E_only,0.282779163
288,E_only,0.262922419
289,E_only,0.313715783
165,E_only,0.333968012
295,E_only,0.287079855
169,E_only,0.294585685
303,E_only,0.247783444
305,E_only,0.232315455
435,E_only,0.32914418
308,E_only,0.221270307
438,E_only,0.261662243
439,E_only,0.351517331
440,E_only,0.321456207
310,E_only,0.210655836
442,E_only,0.350208949
311,E_only,0.268159005
317,E_only,0.240358926
320,E_only,0.226145009
448,E_only,0.20193246
322,E_only,0.203763823
327,E_only,0.186367927
458,E_only,0.211966761
332,E_only,0.305504781
461,E_only,0.219664175
460,E_only,0.274626001
338,E_only,0.177687133
340,E_only,0.220186215
343,E_only,0.287812118
344,E_only,0.285271028
345,E_only,0.222713122
346,E_only,0.228754824
348,E_only,0.321941745
225,E_only,0.233956976
356,E_only,0.213470756
358,E_only,0.251734455
360,E_only,0.200816246
235,E_only,0.201711923
364,E_only,0.194293889
259,Both,0.532178407
269,Both,0.294282537
270,Both,0.548956592
273,Both,0.357307734
276,Both,0.564920575
277,Both,0.601521661
278,Both,0.574091488
280,Both,0.27724742
283,Both,0.569324377
284,Both,0.304515889
286,Both,0.493876483
287,Both,0.407843745
160,Both,0.525042713
288,Both,0.455123823
289,Both,0.50232756
165,Both,0.570821659
295,Both,0.403178442
169,Both,0.460912029
303,Both,0.296381062
305,Both,0.27989668
435,Both,0.561194258
308,Both,0.254120634
438,Both,0.405639517
439,Both,0.578246114
440,Both,0.371840442
310,Both,0.276558695
442,Both,0.595675548
311,Both,0.347307359
317,Both,0.297781696
320,Both,0.270270621
448,Both,0.264223034
322,Both,0.265538623
327,Both,0.218228157
458,Both,0.325359209
332,Both,0.472413519
461,Both,0.335379281
460,Both,0.426873331
338,Both,0.214692074
340,Both,0.332564433
343,Both,0.464106541
344,Both,0.46416486
345,Both,0.362556908
346,Both,0.359820253
348,Both,0.514022996
225,Both,0.295268181
356,Both,0.355920434
358,Both,0.369233158
360,Both,0.235976898
235,Both,0.243517053
364,Both,0.320123033
259,P_only,0.742449178
269,P_only,0.341340422
270,P_only,0.832041965
273,P_only,0.405749638
276,P_only,0.906704097
277,P_only,1.007736593
278,P_only,0.858689356
280,P_only,0.324958635
283,P_only,0.922894985
284,P_only,0.432116645
286,P_only,0.706216939
287,P_only,0.552806274
160,P_only,0.849466221
288,P_only,0.694217767
289,P_only,0.730895104
165,P_only,0.878447026
295,P_only,0.527989904
169,P_only,0.65645864
303,P_only,0.342939661
305,P_only,0.325515823
435,P_only,0.861002474
308,P_only,0.284265958
438,P_only,0.570511275
439,P_only,0.866099011
440,P_only,0.418737457
310,P_only,0.341809062
442,P_only,0.916838264
311,P_only,0.426497741
317,P_only,0.353816177
320,P_only,0.312406437
448,P_only,0.325559701
322,P_only,0.326206024
327,P_only,0.247969686
458,P_only,0.450491038
332,P_only,0.66792854
461,P_only,0.463270531
460,P_only,0.602935562
338,P_only,0.250149647
340,P_only,0.455936472
343,P_only,0.675501361
344,P_only,0.679867674
345,P_only,0.524042203
346,P_only,0.508381845
348,P_only,0.747337007
225,P_only,0.354806993
356,P_only,0.521809171
358,P_only,0.497811041
360,P_only,0.268860572
235,P_only,0.283104386
364,P_only,0.463352888
