Transfer,repb,Klebp,Pseudomonas,Alcaligenes,dila_ord,dilp_ord,freqA,freqP
8,1,1.10E+08,0,292500000,-2,-,0.004975124,0
8,2,5.80E+08,0,3.35E+08,-2,-,0.004975124,0
8,1,227500000,0,1.11E+09,-2,-1,0.004739336,0.047393365
8,2,1.30E+08,0,742500000,-2,-1,0.004739336,0.047393365
8,1,162500000,0,6.45E+08,-2,-2,0.004950495,0.004950495
8,2,1.35E+08,0,407500000,-2,-2,0.004950495,0.004950495
8,1,1.35E+08,0,562500000,-2,-3,0.00497265,0.000497265
8,2,127500000,0,3.95E+08,-2,-3,0.00497265,0.000497265
8,1,2.00E+08,0,8.10E+08,-2,-4,0.004974877,4.97E-05
8,2,1.05E+08,0,4.00E+08,-2,-4,0.004974877,4.97E-05
8,1,1.91E+09,2.50E+08,0,-2,0,0.003322259,0.332225914
8,2,1.56E+09,127500000,0,-2,0,0.003322259,0.332225914
8,1,737500000,0,3.30E+08,-3,-,0.00049975,0
8,2,747500000,0,357500000,-3,-,0.00049975,0
8,1,2287500000,72500000,0,-3,-1,0.000475964,0.047596383
8,2,1357500000,4.00E+07,0,-3,-1,0.000475964,0.047596383
8,1,1.40E+08,0,4.10E+08,-3,-2,0.000497265,0.00497265
8,2,817500000,0,3.25E+08,-3,-2,0.000497265,0.00497265
8,1,1.20E+08,0,422500000,-3,-3,0.0004995,0.0004995
8,2,1.25E+08,0,457500000,-3,-3,0.0004995,0.0004995
8,1,127500000,0,6.85E+08,-3,-4,0.000499725,5.00E-05
8,2,792500000,0,4.35E+08,-3,-4,0.000499725,5.00E-05
8,1,2.46E+09,1.00E+08,0,-3,0,0.000333222,0.333222259
8,2,1262500000,6.00E+07,0,-3,0,0.000333222,0.333222259
8,1,902500000,0,477500000,-4,-,5.00E-05,0
8,2,897500000,0,4.05E+08,-4,-,5.00E-05,0
8,1,1777500000,4.50E+07,0,-4,-1,4.76E-05,0.04761678
8,2,1.56E+09,4.50E+07,0,-4,-1,4.76E-05,0.04761678
8,1,1362500000,4.00E+07,0,-4,-2,4.97E-05,0.004974877
8,2,1477500000,57500000,1.50E+07,-4,-2,4.97E-05,0.004974877
8,1,6.10E+08,0,437500000,-4,-3,5.00E-05,0.000499725
8,2,8.10E+08,12500000,2.60E+08,-4,-3,5.00E-05,0.000499725
8,1,1.65E+08,0,462500000,-4,-4,5.00E-05,5.00E-05
8,2,1.65E+08,0,1002500000,-4,-4,5.00E-05,5.00E-05
8,1,2.04E+09,87500000,0,-4,0,3.33E-05,0.333322223
8,2,1.55E+09,4.00E+07,0,-4,0,3.33E-05,0.333322223
8,1,1.65E+08,0,8.65E+08,0,-,0.333333333,0
8,2,2.05E+08,0,917500000,0,-,0.333333333,0
8,1,2.25E+08,0,9.80E+08,0,-1,0.322580645,0.032258065
8,2,5.30E+08,0,622500000,0,-1,0.322580645,0.032258065
8,1,1.85E+08,0,532500000,0,-2,0.332225914,0.003322259
8,2,1.70E+08,0,652500000,0,-2,0.332225914,0.003322259
8,1,2.75E+08,0,1.04E+09,0,-3,0.333222259,0.000333222
8,2,1.95E+08,0,767500000,0,-3,0.333222259,0.000333222
8,1,127500000,0,5.05E+08,0,-4,0.333322223,3.33E-05
8,2,127500000,0,6.30E+08,0,-4,0.333322223,3.33E-05
8,1,1.11E+09,0,482500000,0,0,0.25,0.25
8,2,182500000,0,7.50E+08,0,0,0.25,0.25
12,1,1.20E+09,0,0,-,-,0,0
12,2,1.52E+09,0,0,-,-,0,0
12,1,1.75E+09,3.00E+07,0,-,-1,0,0.047619048
12,2,1.50E+09,2.00E+07,0,-,-1,0,0.047619048
12,1,1.65E+09,4.00E+07,0,-,-2,0,0.004975124
12,2,1.31E+09,62500000,0,-,-2,0,0.004975124
12,1,1.53E+09,17500000,0,-,-3,0,0.00049975
12,2,1177500000,6.00E+07,0,-,-3,0,0.00049975
12,1,1367500000,42500000,0,-,-4,0,5.00E-05
12,2,1.76E+09,47500000,0,-,-4,0,5.00E-05
12,1,2.71E+09,4.50E+07,0,-,0,0,0.333333333
12,2,1.31E+09,5.50E+07,0,-,0,0,0.333333333
12,1,162500000,0,2.55E+08,-1,-,0.047619048,0
12,2,237500000,0,617500000,-1,-,0.047619048,0
12,1,1.95E+08,0,5.70E+08,-1,-1,0.045454545,0.045454545
12,2,132500000,0,2.30E+08,-1,-1,0.045454545,0.045454545
