time_hours,CommunityReplicate,SangerID,Genus,Family,Glucose_perc,OD620,pH,acetate_mM,succinate_mM,lactate_mM,f_r_type
0,C8R2,311,Klebsiella,Enterobacteriaceae,0.2,0.036,6.824319251,0,0,0,F
0,C8R4,316,Pseudomonas,Pseudomonadaceae,0.2,0.035,7.002884355,0,0,0,R
0,C8R4,317,Klebsiella,Enterobacteriaceae,0.2,0.037,6.991876505,0,0,0,F
0,C8R5,320,Enterobacter,Enterobacteriaceae,0.2,0.036,6.985988638,0,0,0,F
0,C8R5,321,Pseudomonas,Pseudomonadaceae,0.2,0.035,7.004944103,0,0,0,R
0,C8R5,322,Klebsiella,Enterobacteriaceae,0.2,0.036,6.953037794,0,0,0,F
0,C8R5,325,Pseudomonas,Pseudomonadaceae,0.2,0.035,6.972338269,0,0,0,R
0,C8R5,448,Klebsiella,Enterobacteriaceae,0.2,0.036333333,7.004944103,0,0,0,F
0,C8R5,449,Pseudomonas,Pseudomonadaceae,0.2,0.035,6.985988638,0,0,0,R
16,C10R2,326,Pseudomonas,Pseudomonadaceae,0.06282788,0.058333333,6.421494952,0,0.001157298,0,R
16,C10R2,327,Enterobacter,Enterobacteriaceae,0.001126663,0.188666667,6.112306215,6.454912866,0.552794855,0.373094031,F
16,C11R1,332,Enterobacter,Enterobacteriaceae,0.018632225,0.138333333,5.43228445,9.463471257,0.150363407,3.874438009,F
16,C11R1,335,Pseudomonas,Pseudomonadaceae,0.074916923,0.035,6.841021978,0.089053126,0.017473303,0,R
16,C11R1,336,Acinetobacter,Moraxellaceae,0.070128406,0.038,6.915059278,0,0.013431923,0,R
16,C11R1,338,Enterobacter,Enterobacteriaceae,0,0.192,6.021600937,6.198669676,0.545943249,0.554857789,F
16,C11R1,340,Raoultella,Enterobacteriaceae,0,0.181,5.818615102,7.379386753,0.282064868,2.905031297,F
16,C11R1,342,Delftia,Comamonadaceae,0.07703643,0.034,6.933952033,0,0.009390542,0,R
16,C11R1,452,Achromobacter,Alcaligenaceae,0.071109659,0.034666667,6.896338991,0,0.010103727,0,R
16,C11R1,461,Raoultella,Enterobacteriaceae,0,0.179333333,5.782564725,7.363538201,0.279925314,3.000696433,F
16,C11R2,280,Enterobacter,Enterobacteriaceae,0,0.186666667,5.982650465,7.617115023,0.579938391,0.765321088,F
16,C11R2,343,Aeromonas,Aeromonadaceae,0.002735919,0.333666667,5.872204748,9.051408921,0.716869875,3.526854682,F
16,C11R2,344,Enterobacter,Enterobacteriaceae,0.01733697,0.159666667,5.231674825,8.988014716,0.394034884,3.986047334,F
16,C11R2,345,Raoultella,Enterobacteriaceae,0,0.193,5.836401587,7.434856682,0.309641348,3.584253763,F
16,C11R2,346,Escherichia/Shigella,Enterobacteriaceae,0.022596489,0.163666667,5.05669664,7.601266472,0.479379333,3.115494597,F
16,C11R2,348,Raoultella,Enterobacteriaceae,0.021929237,0.153666667,5.343925702,9.812139387,0.39593671,4.005180362,F
16,C11R2,350,Pseudomonas,Pseudomonadaceae,0.075387924,0.034,6.972338269,0,0.009865999,0,R
16,C11R2,453,Acinetobacter,Moraxellaceae,0.070717158,0.038,6.857808019,0,0.022227869,0,R
16,C11R2,454,Acinetobacter,Moraxellaceae,0.076094427,0.038,6.667428005,0,0.016284662,0,R
16,C11R2,458,Serratia,Enterobacteriaceae,0.055409604,0.160333333,5.952181248,7.149582758,0.696662972,2.484104699,F
16,C11R2,460,Enterobacter,Enterobacteriaceae,0.029504513,0.143666667,5.312392737,8.758210721,0.367171589,3.485399789,F
16,C11R5,352,Pseudomonas,Pseudomonadaceae,0.0399843,0.133333333,6.409767322,0,0.022227869,0.019133027,R
16,C11R5,356,Raoultella,Enterobacteriaceae,0,0.176666667,5.765533415,7.181279861,0.31891275,3.702240764,F
16,C11R5,462,Pseudomonas,Pseudomonadaceae,0.046970824,0.124333333,6.312732864,0,0.019612858,0.009566514,R
16,C11R6,358,Raoultella,Enterobacteriaceae,0,0.184333333,5.782564725,8.212946313,0.240069518,2.920975487,F
16,C11R6,360,Klebsiella,Enterobacteriaceae,0,0.188,6.147215015,6.878098933,0.242331971,0.794020629,F
16,C1R2,259,Citrobacter,Enterobacteriaceae,0.007485186,0.164666667,4.542101085,10.49379785,0.46009373,3.459889086,F
16,C1R2,364,Serratia,Enterobacteriaceae,0.006974934,0.176,5.91469752,6.647544556,0.815435085,2.790233134,F
16,C1R2,428,Pseudomonas,Pseudomonadaceae,0.07691868,0.034,6.824319251,0,0.001952514,0.047832568,R
16,C1R2,432,Pseudomonas,Pseudomonadaceae,0,0.135,6.293778499,0,0.005623937,0.019133027,R
16,C1R4,267,Pseudomonas,Pseudomonadaceae,0.2,0.087666667,6.670972254,0,0.011131073,0,R
16,C1R4,269,Enterobacter,Enterobacteriaceae,0,0.171666667,5.854470173,8.072406572,0.611146587,0.685600142,F
16,C1R4,270,Citrobacter,Enterobacteriaceae,0.016120216,0.143666667,4.867230929,9.890635397,0.490776341,4.464373015,F
16,C1R4,435,Citrobacter,Enterobacteriaceae,0.014667961,0.151333333,4.983268484,9.934342827,0.440425389,4.693969341,F
16,C1R6,272,Pseudomonas,Pseudomonadaceae,0.014864212,0.229333333,6.288980107,0.117655443,0.014802496,0.057399082,R
16,C1R6,273,Enterobacter,Enterobacteriaceae,0,0.172333333,5.770577991,9.567200465,0.648909801,0.58355733,F
16,C1R6,274,Pseudomonas,Pseudomonadaceae,0.2,0.074666667,6.599563082,0,0.011131073,0,R
16,C1R6,438,Serratia,Enterobacteriaceae,0.021536735,0.164666667,5.818615102,8.448290416,0.795242256,2.863576405,F
16,C1R6,439,Citrobacter,Enterobacteriaceae,0.001401414,0.165,4.558795489,10.41512449,0.491300831,4.359141365,F
