E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iEC1372_W3110,160488.4_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECIAI1_1343,160488.4_PID,Escherichia,P.Putida,0.91819003,0.026994838,0.069221865,0.358071699
iAPECO1_1312,160488.4_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECABU_c1320,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iBWG_1329,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iE2348C_1286,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iAF1260,160488.4_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEC042_1314,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iYS1720,160488.4_PID,Salmonella,P.Putida,1.026113748,0.027026545,0.069261263,0.400401439
iECOK1_1307,160488.4_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
STM_v1_0,160488.4_PID,Salmonella,P.Putida,1.053602835,0.027044981,0.066282613,0.429896582
iETEC_1333,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC55989_1330,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1368_DH5a,160488.4_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECB_1328,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECD_1391,160488.4_PID,Escherichia,P.Putida,0.04372566,0.020400415,0.075055718,0.011884792
iG2583_1286,160488.4_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iY75_1357,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECNA114_1301,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECBD_1354,160488.4_PID,Escherichia,P.Putida,0.054861296,0.020400414,0.094170196,0.011884792
iAF1260b,160488.4_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEcE24377_1341,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSE_1348,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSP_1301,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECH74115_1262,160488.4_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iECSF_1327,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECDH1ME8569_1439,160488.4_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iEC1344_C,160488.4_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iUMNK88_1353,160488.4_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iNRG857_1313,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEKO11_1354,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECP_1309,160488.4_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECs_1301,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1349_Crooks,160488.4_PID,Escherichia,P.Putida,0.865030288,0.026966568,0.071299963,0.32716564
iYL1228,160488.4_PID,Klebsiella,P.Putida,0.955353032,0.026993551,0.072329447,0.356540409
iML1515,160488.4_PID,Escherichia,P.Putida,1.091421747,0.027083712,0.058141845,0.508407532
iUTI89_1310,160488.4_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iECO103_1326,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECO26_1355,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iUMN146_1321,160488.4_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iSDY_1059,160488.4_PID,Shigella,P.Putida,0.980704556,0.027030446,0.065244086,0.406303203
iECW_1372,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcDH1_1363,160488.4_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECS88_1305,160488.4_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iEC1356_Bl21DE3,160488.4_PID,Escherichia,P.Putida,0.027254673,0.013286404,0.095035542,0.003810328
iEcSMS35_1347,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcolC_1368,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iZ_1308,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECED1_1282,303.432_PID,Escherichia,P.Putida,0.812185753,0.026850919,0.072151374,0.302252506
iEC1364_W,303.432_PID,Escherichia,P.Putida,0.867360758,0.026878157,0.071153561,0.327644302
iJO1366,303.432_PID,Escherichia,P.Putida,0.916424424,0.026903694,0.069334841,0.355596149
iLF82_1304,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
e_coli_core,303.432_PID,Escherichia,P.Putida,0.684217179,0.026780163,0.072871592,0.251448434
iJR904,303.432_PID,Escherichia,P.Putida,0.927990759,0.026917227,0.067074007,0.37240862
iWFL_1372,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcHS_1320,303.432_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iECIAI39_1322,303.432_PID,Escherichia,P.Putida,0.833924636,0.026862712,0.071626906,0.312752262
iECO111_1330,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iB21_1397,303.432_PID,Escherichia,P.Putida,0.04372566,0.020332349,0.075055718,0.011845139
iEC1372_W3110,303.432_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iECIAI1_1343,303.432_PID,Escherichia,P.Putida,0.91819003,0.02690477,0.069221865,0.356876995
iAPECO1_1312,303.432_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iECABU_c1320,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iBWG_1329,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iE2348C_1286,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iAF1260,303.432_PID,Escherichia,P.Putida,1.051197215,0.026971971,0.061609818,0.46020037
iEC042_1314,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iYS1720,303.432_PID,Salmonella,P.Putida,1.026113748,0.026936371,0.069261263,0.399065502
iECOK1_1307,303.432_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
STM_v1_0,303.432_PID,Salmonella,P.Putida,1.053602835,0.026954746,0.066282613,0.428462234
iETEC_1333,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC55989_1330,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC1368_DH5a,303.432_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iECB_1328,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECD_1391,303.432_PID,Escherichia,P.Putida,0.04372566,0.020332349,0.075055718,0.011845139
iG2583_1286,303.432_PID,Escherichia,P.Putida,0.745573021,0.02679739,0.076199178,0.262199821
iY75_1357,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECNA114_1301,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECBD_1354,303.432_PID,Escherichia,P.Putida,0.054861296,0.020332348,0.094170196,0.011845138
iAF1260b,303.432_PID,Escherichia,P.Putida,1.051197215,0.026971971,0.061609818,0.46020037
iEcE24377_1341,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECSE_1348,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECSP_1301,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECH74115_1262,303.432_PID,Escherichia,P.Putida,0.745573021,0.02679739,0.076199178,0.262199821
iECSF_1327,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECDH1ME8569_1439,303.432_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iEC1344_C,303.432_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iUMNK88_1353,303.432_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iNRG857_1313,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEKO11_1354,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECP_1309,303.432_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iECs_1301,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC1349_Crooks,303.432_PID,Escherichia,P.Putida,0.865030288,0.026876594,0.071299963,0.326074053
iYL1228,303.432_PID,Klebsiella,P.Putida,0.955353032,0.026903487,0.072329447,0.355350814
iML1515,303.432_PID,Escherichia,P.Putida,1.091421747,0.026993347,0.058141845,0.506711233
iUTI89_1310,303.432_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iECO103_1326,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECO26_1355,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iUMN146_1321,303.432_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iSDY_1059,303.432_PID,Shigella,P.Putida,0.980704556,0.026940259,0.065244086,0.404947575
iECW_1372,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcDH1_1363,303.432_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECS88_1305,303.432_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iEC1356_Bl21DE3,303.432_PID,Escherichia,P.Putida,0.027254673,0.013242074,0.095035542,0.003797615
iEcSMS35_1347,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcolC_1368,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iZ_1308,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECED1_1282,1449986.3_PID,Escherichia,P.Putida,0.812185753,0.026850919,0.072151374,0.302252506
iEC1364_W,1449986.3_PID,Escherichia,P.Putida,0.867360758,0.026878157,0.071153561,0.327644302
iJO1366,1449986.3_PID,Escherichia,P.Putida,0.916424424,0.026903694,0.069334841,0.355596149
iLF82_1304,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
e_coli_core,1449986.3_PID,Escherichia,P.Putida,0.684217179,0.026780163,0.072871592,0.251448434
iJR904,1449986.3_PID,Escherichia,P.Putida,0.927990759,0.026917227,0.067074007,0.37240862
iWFL_1372,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcHS_1320,1449986.3_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iECIAI39_1322,1449986.3_PID,Escherichia,P.Putida,0.833924636,0.026862712,0.071626906,0.312752262
iECO111_1330,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iB21_1397,1449986.3_PID,Escherichia,P.Putida,0.04372566,0.020332349,0.075055718,0.011845139
iEC1372_W3110,1449986.3_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iECIAI1_1343,1449986.3_PID,Escherichia,P.Putida,0.91819003,0.02690477,0.069221865,0.356876995
iAPECO1_1312,1449986.3_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iECABU_c1320,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iBWG_1329,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iE2348C_1286,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iAF1260,1449986.3_PID,Escherichia,P.Putida,1.051197215,0.026971971,0.061609818,0.46020037
iEC042_1314,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iYS1720,1449986.3_PID,Salmonella,P.Putida,1.026113748,0.026936371,0.069261263,0.399065502
iECOK1_1307,1449986.3_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
STM_v1_0,1449986.3_PID,Salmonella,P.Putida,1.053602835,0.026954746,0.066282613,0.428462234
iETEC_1333,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC55989_1330,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC1368_DH5a,1449986.3_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iECB_1328,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECD_1391,1449986.3_PID,Escherichia,P.Putida,0.04372566,0.020332349,0.075055718,0.011845139
iG2583_1286,1449986.3_PID,Escherichia,P.Putida,0.745573021,0.02679739,0.076199178,0.262199821
iY75_1357,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECNA114_1301,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECBD_1354,1449986.3_PID,Escherichia,P.Putida,0.054861296,0.020332348,0.094170196,0.011845138
iAF1260b,1449986.3_PID,Escherichia,P.Putida,1.051197215,0.026971971,0.061609818,0.46020037
iEcE24377_1341,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECSE_1348,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECSP_1301,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECH74115_1262,1449986.3_PID,Escherichia,P.Putida,0.745573021,0.02679739,0.076199178,0.262199821
iECSF_1327,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECDH1ME8569_1439,1449986.3_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iEC1344_C,1449986.3_PID,Escherichia,P.Putida,0.916442037,0.026903696,0.069335693,0.355598642
iUMNK88_1353,1449986.3_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iNRG857_1313,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEKO11_1354,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECP_1309,1449986.3_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iECs_1301,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEC1349_Crooks,1449986.3_PID,Escherichia,P.Putida,0.865030288,0.026876594,0.071299963,0.326074053
iYL1228,1449986.3_PID,Klebsiella,P.Putida,0.955353032,0.026903487,0.072329447,0.355350814
iML1515,1449986.3_PID,Escherichia,P.Putida,1.091421747,0.026993347,0.058141845,0.506711233
iUTI89_1310,1449986.3_PID,Escherichia,P.Putida,0.916577,0.026903787,0.069325078,0.355706669
iECO103_1326,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECO26_1355,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iUMN146_1321,1449986.3_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iSDY_1059,1449986.3_PID,Shigella,P.Putida,0.980704556,0.026940259,0.065244086,0.404947575
iECW_1372,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iEcDH1_1363,1449986.3_PID,Escherichia,P.Putida,0.812197302,0.02685092,0.072152138,0.302253616
iECS88_1305,1449986.3_PID,Escherichia,P.Putida,0.83380047,0.026862723,0.071613933,0.312762472
iEC1356_Bl21DE3,1449986.3_PID,Escherichia,P.Putida,0.027254673,0.013242074,0.095035542,0.003797615
iEcSMS35_1347,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcolC_1368,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iZ_1308,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECED1_1282,303.491_PID,Escherichia,P.Putida,0.812185753,0.026940806,0.072151374,0.303264346
iEC1364_W,303.491_PID,Escherichia,P.Putida,0.867360758,0.026968136,0.071153561,0.328741144
iJO1366,303.491_PID,Escherichia,P.Putida,0.916424424,0.026993759,0.069334841,0.356786565
iLF82_1304,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
e_coli_core,303.491_PID,Escherichia,P.Putida,0.684217179,0.026869814,0.072871592,0.252290199
iJR904,303.491_PID,Escherichia,P.Putida,0.927990759,0.027007337,0.067074007,0.373655318
iWFL_1372,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcHS_1320,303.491_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iECIAI39_1322,303.491_PID,Escherichia,P.Putida,0.833924636,0.026952639,0.071626906,0.313799251
iECO111_1330,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iB21_1397,303.491_PID,Escherichia,P.Putida,0.04372566,0.020400415,0.075055718,0.011884792
iEC1372_W3110,303.491_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECIAI1_1343,303.491_PID,Escherichia,P.Putida,0.91819003,0.026994838,0.069221865,0.358071699
iAPECO1_1312,303.491_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECABU_c1320,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iBWG_1329,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iE2348C_1286,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iAF1260,303.491_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEC042_1314,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iYS1720,303.491_PID,Salmonella,P.Putida,1.026113748,0.027026545,0.069261263,0.400401439
iECOK1_1307,303.491_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
STM_v1_0,303.491_PID,Salmonella,P.Putida,1.053602835,0.027044981,0.066282613,0.429896582
iETEC_1333,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC55989_1330,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1368_DH5a,303.491_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECB_1328,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECD_1391,303.491_PID,Escherichia,P.Putida,0.04372566,0.020400415,0.075055718,0.011884792
iG2583_1286,303.491_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iY75_1357,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECNA114_1301,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECBD_1354,303.491_PID,Escherichia,P.Putida,0.054861296,0.020400414,0.094170196,0.011884792
iAF1260b,303.491_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEcE24377_1341,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSE_1348,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSP_1301,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECH74115_1262,303.491_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iECSF_1327,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECDH1ME8569_1439,303.491_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iEC1344_C,303.491_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iUMNK88_1353,303.491_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iNRG857_1313,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEKO11_1354,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECP_1309,303.491_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECs_1301,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1349_Crooks,303.491_PID,Escherichia,P.Putida,0.865030288,0.026966568,0.071299963,0.32716564
iYL1228,303.491_PID,Klebsiella,P.Putida,0.955353032,0.026993551,0.072329447,0.356540409
iML1515,303.491_PID,Escherichia,P.Putida,1.091421747,0.027083712,0.058141845,0.508407532
iUTI89_1310,303.491_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iECO103_1326,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECO26_1355,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iUMN146_1321,303.491_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iSDY_1059,303.491_PID,Shigella,P.Putida,0.980704556,0.027030446,0.065244086,0.406303203
iECW_1372,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcDH1_1363,303.491_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECS88_1305,303.491_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iEC1356_Bl21DE3,303.491_PID,Escherichia,P.Putida,0.027254673,0.013286404,0.095035542,0.003810328
iEcSMS35_1347,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcolC_1368,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iZ_1308,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECED1_1282,1193146.3_PID,Escherichia,P.Putida,0.812185753,0.026931799,0.072151374,0.303162955
iEC1364_W,1193146.3_PID,Escherichia,P.Putida,0.867360758,0.02695912,0.071153561,0.328631236
iJO1366,1193146.3_PID,Escherichia,P.Putida,0.916424424,0.026984734,0.069334841,0.35666728
iLF82_1304,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
e_coli_core,1193146.3_PID,Escherichia,P.Putida,0.684217179,0.026860831,0.072871592,0.252205851
iJR904,1193146.3_PID,Escherichia,P.Putida,0.927990759,0.026998308,0.067074007,0.373530394
iWFL_1372,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcHS_1320,1193146.3_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECIAI39_1322,1193146.3_PID,Escherichia,P.Putida,0.833924636,0.026943628,0.071626906,0.313694338
iECO111_1330,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iB21_1397,1193146.3_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iEC1372_W3110,1193146.3_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECIAI1_1343,1193146.3_PID,Escherichia,P.Putida,0.91819003,0.026985813,0.069221865,0.357951985
iAPECO1_1312,1193146.3_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECABU_c1320,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iBWG_1329,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iE2348C_1286,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iAF1260,1193146.3_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEC042_1314,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iYS1720,1193146.3_PID,Salmonella,P.Putida,1.026113748,0.027017509,0.069261263,0.400267573
iECOK1_1307,1193146.3_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
STM_v1_0,1193146.3_PID,Salmonella,P.Putida,1.053602835,0.027035939,0.066282613,0.429752854
iETEC_1333,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC55989_1330,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1368_DH5a,1193146.3_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECB_1328,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECD_1391,1193146.3_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iG2583_1286,1193146.3_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iY75_1357,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECNA114_1301,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECBD_1354,1193146.3_PID,Escherichia,P.Putida,0.054861296,0.020393594,0.094170196,0.011880818
iAF1260b,1193146.3_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEcE24377_1341,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSE_1348,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSP_1301,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECH74115_1262,1193146.3_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iECSF_1327,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECDH1ME8569_1439,1193146.3_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iEC1344_C,1193146.3_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iUMNK88_1353,1193146.3_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iNRG857_1313,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEKO11_1354,1193146.3_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
