E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iECED1_1282,303.429_PID,Escherichia,P.Putida,0.812185753,0.026931799,0.072151374,0.303162955
iEC1364_W,303.429_PID,Escherichia,P.Putida,0.867360758,0.02695912,0.071153561,0.328631236
iJO1366,303.429_PID,Escherichia,P.Putida,0.916424424,0.026984734,0.069334841,0.35666728
iLF82_1304,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
e_coli_core,303.429_PID,Escherichia,P.Putida,0.684217179,0.026860831,0.072871592,0.252205851
iJR904,303.429_PID,Escherichia,P.Putida,0.927990759,0.026998308,0.067074007,0.373530394
iWFL_1372,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcHS_1320,303.429_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECIAI39_1322,303.429_PID,Escherichia,P.Putida,0.833924636,0.026943628,0.071626906,0.313694338
iECO111_1330,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iB21_1397,303.429_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iEC1372_W3110,303.429_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECIAI1_1343,303.429_PID,Escherichia,P.Putida,0.91819003,0.026985813,0.069221865,0.357951985
iAPECO1_1312,303.429_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECABU_c1320,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iBWG_1329,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iE2348C_1286,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iAF1260,303.429_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEC042_1314,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iYS1720,303.429_PID,Salmonella,P.Putida,1.026113748,0.027017509,0.069261263,0.400267573
iECOK1_1307,303.429_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
STM_v1_0,303.429_PID,Salmonella,P.Putida,1.053602835,0.027035939,0.066282613,0.429752854
iETEC_1333,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC55989_1330,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1368_DH5a,303.429_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECB_1328,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECD_1391,303.429_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iG2583_1286,303.429_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iY75_1357,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECNA114_1301,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECBD_1354,303.429_PID,Escherichia,P.Putida,0.054861296,0.020393594,0.094170196,0.011880818
iAF1260b,303.429_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEcE24377_1341,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSE_1348,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSP_1301,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECH74115_1262,303.429_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iECSF_1327,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECDH1ME8569_1439,303.429_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iEC1344_C,303.429_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iUMNK88_1353,303.429_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iNRG857_1313,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEKO11_1354,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECP_1309,303.429_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECs_1301,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1349_Crooks,303.429_PID,Escherichia,P.Putida,0.865030288,0.026957552,0.071299963,0.327056258
iYL1228,303.429_PID,Klebsiella,P.Putida,0.955353032,0.026984526,0.072329447,0.356421207
iML1515,303.429_PID,Escherichia,P.Putida,1.091421747,0.027074657,0.058141845,0.508237556
iUTI89_1310,303.429_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECO103_1326,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECO26_1355,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iUMN146_1321,303.429_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iSDY_1059,303.429_PID,Shigella,P.Putida,0.980704556,0.027021409,0.065244086,0.406167364
iECW_1372,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcDH1_1363,303.429_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECS88_1305,303.429_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iEC1356_Bl21DE3,303.429_PID,Escherichia,P.Putida,0.027254673,0.013281962,0.095035542,0.003809054
iEcSMS35_1347,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcolC_1368,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iZ_1308,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECED1_1282,76869.5_PID,Escherichia,P.Putida,0.812185753,0.026931799,0.072151374,0.303162955
iEC1364_W,76869.5_PID,Escherichia,P.Putida,0.867360758,0.02695912,0.071153561,0.328631236
iJO1366,76869.5_PID,Escherichia,P.Putida,0.916424424,0.026984734,0.069334841,0.35666728
iLF82_1304,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
e_coli_core,76869.5_PID,Escherichia,P.Putida,0.684217179,0.026860831,0.072871592,0.252205851
iJR904,76869.5_PID,Escherichia,P.Putida,0.927990759,0.026998308,0.067074007,0.373530394
iWFL_1372,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcHS_1320,76869.5_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECIAI39_1322,76869.5_PID,Escherichia,P.Putida,0.833924636,0.026943628,0.071626906,0.313694338
iECO111_1330,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iB21_1397,76869.5_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iEC1372_W3110,76869.5_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECIAI1_1343,76869.5_PID,Escherichia,P.Putida,0.91819003,0.026985813,0.069221865,0.357951985
iAPECO1_1312,76869.5_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECABU_c1320,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iBWG_1329,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iE2348C_1286,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iAF1260,76869.5_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEC042_1314,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iYS1720,76869.5_PID,Salmonella,P.Putida,1.026113748,0.027017509,0.069261263,0.400267573
iECOK1_1307,76869.5_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
STM_v1_0,76869.5_PID,Salmonella,P.Putida,1.053602835,0.027035939,0.066282613,0.429752854
iETEC_1333,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC55989_1330,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1368_DH5a,76869.5_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECB_1328,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECD_1391,76869.5_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iG2583_1286,76869.5_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iY75_1357,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECNA114_1301,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECBD_1354,76869.5_PID,Escherichia,P.Putida,0.054861296,0.020393594,0.094170196,0.011880818
iAF1260b,76869.5_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEcE24377_1341,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSE_1348,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECSP_1301,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECH74115_1262,76869.5_PID,Escherichia,P.Putida,0.745573021,0.026878109,0.076199178,0.262989623
iECSF_1327,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECDH1ME8569_1439,76869.5_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iEC1344_C,76869.5_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iUMNK88_1353,76869.5_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iNRG857_1313,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEKO11_1354,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECP_1309,76869.5_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECs_1301,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1349_Crooks,76869.5_PID,Escherichia,P.Putida,0.865030288,0.026957552,0.071299963,0.327056258
iYL1228,76869.5_PID,Klebsiella,P.Putida,0.955353032,0.026984526,0.072329447,0.356421207
iML1515,76869.5_PID,Escherichia,P.Putida,1.091421747,0.027074657,0.058141845,0.508237556
iUTI89_1310,76869.5_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECO103_1326,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECO26_1355,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iUMN146_1321,76869.5_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
