Community,respirator,fermenter,ratioRF
C1R2,104,192,0.541666667
C2R2,2,584,0.003424658
C4R2,2,214,0.009345794
C6R2,20,182,0.10989011
C7R2,10,538,0.018587361
C9R2,1,526,0.001901141
C10R2,32,682,0.046920821
C11R2,155,176,0.880681818
C12R2,7,936,0.007478632
C1R7,5,271,0.018450185
C2R7,10,244,0.040983607
C3R7,3,322,0.00931677
C4R7,1,65,0.015384615
C7R7,1,141,0.007092199
C10R7,7,66,0.106060606
C11R7,1,100,0.01
C12R7,3,246,0.012195122
