"InocRep","Relative_Abundance","Family"
"C1R3",0.018421651,"Enterococcaceae"
"C11R3",0.000227428,"Enterococcaceae"
"C1R4",0.000682283,"Enterococcaceae"
"C3R4",0.000227428,"Enterococcaceae"
"C11R4",0.000682283,"Enterococcaceae"
"C2R5",0.000454856,"Enterococcaceae"
"C12R5",0.008869684,"Enterococcaceae"
"C1R7",0.025926768,"Enterococcaceae"
"C1R8",0.006367978,"Enterococcaceae"
"C2R8",0.000227428,"Enterococcaceae"
"C12R1",0.003183989,"Enterococcaceae"
"C12R5",0.002729134,"Enterococcaceae"
"C4R4",0.000227428,"Oxalobacteraceae"
"C11R4",0.000454856,"Oxalobacteraceae"
"C6R6",0.001364567,"Oxalobacteraceae"
"C7R2",0.000227428,"Obscuribacterales.17"
"C2R1",0.000454856,"Brucellaceae"
"C11R2",0.000454856,"Brucellaceae"
"C2R3",0.000227428,"Brucellaceae"
"C11R4",0.001819422,"Brucellaceae"
"C11R5",0.001137139,"Brucellaceae"
"C11R7",0.012508529,"Brucellaceae"
"C2R1",0.081419149,"Sphingobacteriaceae"
"C2R3",0.003638845,"Sphingobacteriaceae"
"C2R6",0.001819422,"Sphingobacteriaceae"
"C4R1",0.001137139,"Xanthomonadaceae"
"C12R1",0.00614055,"Xanthomonadaceae"
"C12R2",0.009097112,"Xanthomonadaceae"
"C2R3",0.000909711,"Xanthomonadaceae"
"C5R3",0.000454856,"Xanthomonadaceae"
"C4R4",0.001364567,"Xanthomonadaceae"
"C11R4",0.000454856,"Xanthomonadaceae"
"C12R4",0.001364567,"Xanthomonadaceae"
"C10R5",0.002956561,"Xanthomonadaceae"
"C12R5",0.001137139,"Xanthomonadaceae"
"C1R6",0.000227428,"Xanthomonadaceae"
"C7R6",0.005913123,"Xanthomonadaceae"
"C7R7",0.000227428,"Xanthomonadaceae"
"C11R7",0.005003411,"Xanthomonadaceae"
"C12R7",0.000454856,"Xanthomonadaceae"
"C1R8",0.001364567,"Xanthomonadaceae"
"C2R1",0.000682283,"Xanthomonadaceae"
"C5R1",0.006367978,"Xanthomonadaceae"
"C2R2",0.024562202,"Xanthomonadaceae"
"C9R2",0.013645668,"Xanthomonadaceae"
"C2R4",0.028428474,"Xanthomonadaceae"
"C2R7",0.017739368,"Xanthomonadaceae"
"C10R1",0.086649989,"Xanthomonadaceae"
"C1R2",0.02160564,"Xanthomonadaceae"
"C1R3",0.000227428,"Xanthomonadaceae"
"C10R3",0.003411417,"Xanthomonadaceae"
"C10R4",0.014555379,"Xanthomonadaceae"
"C10R6",0.000454856,"Xanthomonadaceae"
"C11R1",0.001137139,"Xanthomonadaceae"
"C10R2",0.006595406,"Xanthomonadaceae"
"C10R3",0.0040937,"Xanthomonadaceae"
"C11R4",0.001364567,"Xanthomonadaceae"
"C10R5",0.010234251,"Xanthomonadaceae"
"C11R5",0.001364567,"Xanthomonadaceae"
"C10R7",0.004321128,"Xanthomonadaceae"
"C10R2",0.02569934,"Xanthomonadaceae"
"C10R3",0.016602229,"Xanthomonadaceae"
"C10R5",0.033204458,"Xanthomonadaceae"
"C10R7",0.016374801,"Xanthomonadaceae"
"C1R1",0.001819422,"Xanthomonadaceae"
"C3R1",0.020241073,"Xanthomonadaceae"
"C1R5",0.000227428,"Xanthomonadaceae"
"C2R8",0.000227428,"Xanthomonadaceae"
