"cs","genus","SangerID","gr_max"
"succinate","Enterobacter",440,0.209102879
"acetate","Enterobacter",440,0.149796715
"lactate","Enterobacter",440,0.353251478
"glucose","Enterobacter",440,0.55826795
"succinate","Enterobacter",442,0.153989774
"glucose","Enterobacter",442,0.950480242
"lactate","Enterobacter",442,0.179591548
"acetate","Enterobacter",442,0.110925778
"succinate","Klebsiella",448,0.336128981
"glucose","Klebsiella",448,0.712004097
"lactate","Klebsiella",448,0.516538621
"acetate","Klebsiella",448,0.192776246
"succinate","Serratia",458,0.509705899
"glucose","Serratia",458,0.712235343
"acetate","Serratia",458,0.625685019
"lactate","Serratia",458,0.4420866
"glucose","Enterobacter",460,0.810570687
"succinate","Enterobacter",460,0.71481728
"acetate","Enterobacter",460,0.17270347
"lactate","Enterobacter",460,0.204061058
"succinate","Raoultella",461,0.156070486
"acetate","Raoultella",461,0.213741304
"glucose","Raoultella",461,0.673103878
"lactate","Raoultella",461,0.54679734
