"type","Median","Q1","Q3"
"Alc./E",0.556675062987977,0.406548430677135,0.664547018621928
"(M+P)/(Aero.+E)",0.675562332422732,0.675562332422732,0.675562332422732
"M/Aero.",0.308391608391609,0.196048632218845,0.464638157894737
"ES_all",0.293057469290127,0.172767902471743,0.687657496492688
