"experiment","Rep_num","Group","ratioRF"
"No_migration_4_18",19,"KA",0.664547018621928
"No_migration_4_18",20,"KP",0.121487736203009
"No_migration_4_18",21,"K",0.00073491270004427
"No_migration_4_18",22,"KA",0.495835175286072
"No_migration_4_18",23,"KA",0.403515263138677
"No_migration_4_18",24,"KA",0.418627602973823
"No_migration_4_18",25,"KA",0.443037976418843
"No_migration_4_18",26,"K",0.00149309400607465
"No_migration_4_18",27,"KA",0.421269389074261
"No_migration_4_18",28,"KA",0.608899861578783
"No_migration_4_18",29,"K",0.00724094942511748
"No_migration_4_18",30,"KA",0.274880055587218
"No_migration_4_18",31,"KA",0.621161657004246
"No_migration_4_18",32,"KA",0.604274215376997
"No_migration_4_18",33,"KA",0.589187314901694
"No_migration_4_18",34,"KA",0.322823851020435
"No_migration_4_18",35,"KA",0.620281585690648
"No_migration_4_18",36,"KA",0.374413626182999
"No_migration_4_18",37,"K",0.00173878813628332
"No_migration_4_18",38,"KA",0.409502384993612
"No_migration_4_18",39,"KA",0.640121892481347
"No_migration_4_18",40,"KA",0.457684494884656
"No_migration_4_18",41,"KA",0.364590002397394
"No_migration_4_18",42,"KA",0.717300143818911
"No_migration_4_18",43,"KA",0.630445828879186
"No_migration_4_18",44,"KP",0.156110934703355
"No_migration_4_18",45,"KP",0.137123607082712
"No_migration_4_18",46,"KA",1.08177206933671
"No_migration_4_18",47,"KA",0.888612804754022
"No_migration_4_18",48,"KA",0.831630262148271
"No_migration_4_18",49,"KA",0.581971871334665
"No_migration_4_18",50,"K",0.00621417448011175
"No_migration_4_18",51,"KA",0.662088076630065
"No_migration_4_18",52,"KA",0.838281521491202
"No_migration_4_18",53,"KA",0.301158533211636
"No_migration_4_18",54,"K",0.00676698815524475
"No_migration_4_18",55,"KA",0.967867866331395
"No_migration_4_18",56,"KA",0.564954943044238
"No_migration_4_18",57,"KA",0.337483551476834
"No_migration_4_18",58,"KA",0.483092025658584
"No_migration_4_18",59,"KP",0.147999125403754
"No_migration_4_18",60,"KA",0.393860100617325
"No_migration_4_18",61,"KA",0.379827605084128
"No_migration_4_18",62,"KA",0.239508152257512
"No_migration_4_18",63,"KP",0.172807533832255
"No_migration_4_18",64,"KA",0.408328201490992
"No_migration_4_18",65,"KA",0.691495633749937
"No_migration_4_18",66,"KA",1.30140620341666
"No_migration_4_18",67,"K",0.0013142088781252
"No_migration_4_18",68,"KA",0.39069785898685
"No_migration_4_18",69,"KA",0.322079580412132
"No_migration_4_18",70,"KP",0.150452339970995
"No_migration_4_18",71,"KP",0.166791801586886
"No_migration_4_18",72,"KA",0.46856479557614
"No_migration_4_18",73,"KA",0.981998490779501
"No_migration_4_18",74,"K",0.0025169410876674
"No_migration_4_18",75,"KA",0.871002749966164
"No_migration_4_18",76,"K",0.00144962637331529
"No_migration_4_18",77,"KP",0.176034888062824
"No_migration_4_18",78,"KA",0.782678702219888
"No_migration_4_18",79,"K",0.000443131278352777
"No_migration_4_18",80,"KA",0.410149482092213
"No_migration_4_18",81,"KA",0.560514827636588
"No_migration_4_18",82,"KA",0.531966917909752
"No_migration_4_18",83,"KA",0.406548430677135
"No_migration_4_18",84,"KA",0.448426738773679
"No_migration_4_18",85,"KA",0.645338665314339
"No_migration_4_18",86,"KA",0.501342242090898
"No_migration_4_18",87,"K",0.00132434356620592
"No_migration_4_18",88,"KA",0.661046229934746
"No_migration_4_18",89,"KA",0.343934267121351
"No_migration_4_18",90,"K",0.00362275800072281
"No_migration_4_18",91,"KA",0.301012051550448
"No_migration_4_18",92,"KA",0.417513058279119
"Parent_migration_4_18",1,"KP",0.0724147526580699
"Parent_migration_4_18",2,"KP",0.112631030620544
"Parent_migration_4_18",3,"KP",0.0649549393038492
"Parent_migration_4_18",4,"KP",0.140121367523773
"Parent_migration_4_18",5,"KP",0.162458836141051
"Parent_migration_4_18",6,"KP",0.14662563217642
"Parent_migration_4_18",7,"KP",0.0917933133718942
"Parent_migration_4_18",8,"KP",0.136191950089899
"Parent_migration_4_18",9,"KP",0.119634490675397
"Parent_migration_4_18",10,"KP",0.140025034298096
"Parent_migration_4_18",11,"KP",0.232711407930012
"Parent_migration_4_18",12,"KP",0.157698232008181
"Parent_migration_4_18",13,"KP",0.0793199250052251
"Parent_migration_4_18",14,"KP",0.0935094842975373
"Parent_migration_4_18",15,"KP",0.0747557692478599
"Parent_migration_4_18",16,"KP",0.15197287271612
"Parent_migration_4_18",17,"KP",0.38612821423674
"Parent_migration_4_18",18,"KP",0.173167485924747
"Parent_migration_4_18",19,"KP",0.0945834482294774
"Parent_migration_4_18",20,"KP",0.128550402447736
"Parent_migration_4_18",21,"KP",0.115714783367708
"Parent_migration_4_18",22,"KP",0.165820124647669
"Parent_migration_4_18",23,"KP",0.0955147733170582
"Parent_migration_4_18",24,"KP",0.125782353159406
"Parent_migration_4_18",25,"KP",0.149611474202228
"Parent_migration_4_18",26,"KP",0.0786868488271542
"Parent_migration_4_18",27,"KP",0.0679207917639069
"Parent_migration_4_18",28,"KA",0.641212541678839
"Parent_migration_4_18",29,"KP",0.250057010334934
"Parent_migration_4_18",30,"KP",0.142565872293173
"Parent_migration_4_18",31,"KP",0.122104848583856
"Parent_migration_4_18",32,"KP",0.0900921873194313
"Parent_migration_4_18",33,"KP",0.177463452986355
"Parent_migration_4_18",34,"KP",0.210159570277506
"Parent_migration_4_18",35,"KP",0.170252420334195
"Parent_migration_4_18",36,"KP",0.118650234479269
"Parent_migration_4_18",37,"KP",0.160708304754519
"Parent_migration_4_18",38,"KP",0.0772681956167534
"Parent_migration_4_18",39,"KP",0.087288767640631
"Parent_migration_4_18",40,"KP",0.287735430439327
"Parent_migration_4_18",41,"KP",0.302822874009534
"Parent_migration_4_18",42,"KP",0.43183285807245
"Parent_migration_4_18",43,"KP",0.18212000527239
"Parent_migration_4_18",44,"KP",0.222171456049573
"Parent_migration_4_18",45,"KP",0.267019248987506
"Parent_migration_4_18",46,"KP",0.132309442293677
"Parent_migration_4_18",47,"KP",0.146444715329871
"Parent_migration_4_18",48,"KP",0.300457512136247
"Parent_migration_4_18",49,"KP",0.0706175425089714
"Parent_migration_4_18",50,"KP",0.0830433495595321
"Parent_migration_4_18",51,"KP",0.162298196284204
"Parent_migration_4_18",52,"KP",0.124032060726003
"Parent_migration_4_18",53,"KP",0.210306256450501
"Parent_migration_4_18",54,"KP",0.310529748756638
"Parent_migration_4_18",55,"KP",0.202313647020371
"Parent_migration_4_18",56,"KP",0.192699811499401
"Parent_migration_4_18",57,"KP",0.184218474269478
"Parent_migration_4_18",58,"KP",0.124876325412092
"Parent_migration_4_18",59,"KP",0.129594968677371
"Parent_migration_4_18",60,"KP",0.0969807415377339
"Parent_migration_4_18",61,"KP",0.09285304226827
"Parent_migration_4_18",62,"KP",0.135220978212157
"Parent_migration_4_18",63,"KP",0.125906473072648
"Parent_migration_4_18",64,"KP",0.198808677884435
"Parent_migration_4_18",65,"KA",0.726005644718504
"Parent_migration_4_18",66,"KP",0.155964780573725
"Parent_migration_4_18",67,"KP",0.168990635246415
"Parent_migration_4_18",68,"KP",0.26921265224531
"Parent_migration_4_18",69,"KP",0.165414704769677
"Parent_migration_4_18",70,"KP",0.124156972765062
"Parent_migration_4_18",71,"KP",0.286886766959603
"Parent_migration_4_18",72,"KA",0.624621461574453
"Parent_migration_4_18",73,"KP",0.141371099389246
"Parent_migration_4_18",74,"KP",0.137628834602523
"Parent_migration_4_18",75,"KP",0.0906248918100108
"Parent_migration_4_18",76,"KP",0.182936186841627
"Parent_migration_4_18",77,"KP",0.135687263870916
"Parent_migration_4_18",78,"KP",0.28294028858233
"Parent_migration_4_18",79,"KP",0.165992415228667
"Parent_migration_4_18",80,"KP",0.116548634728712
"Parent_migration_4_18",81,"KP",0.232918887306334
"Parent_migration_4_18",82,"KP",0.11600312262936
"Parent_migration_4_18",83,"KP",0.137125473112993
"Parent_migration_4_18",84,"K",0.00168181475183199
"Parent_migration_4_18",85,"KA",0.471044828831989
"Parent_migration_4_18",86,"KP",0.122474088420889
"Parent_migration_4_18",87,"KP",0.081567649807984
"Parent_migration_4_18",88,"KP",0.0804602199371937
"Parent_migration_4_18",89,"KP",0.318888511599098
"Parent_migration_4_18",90,"KP",0.143434177077376
"Parent_migration_4_18",91,"KP",0.112064310857027
"Parent_migration_4_18",92,"KP",0.0805823135771773
