"cs","family","SangerID","gr_max"
"acetate","Pseudomonadaceae",325,0.283683251
"lactate","Pseudomonadaceae",325,0.36854043
"glucose","Pseudomonadaceae",325,0.246270108
"succinate","Pseudomonadaceae",325,0.55328422
"acetate","Pseudomonadaceae",326,0.335954973
"succinate","Pseudomonadaceae",326,0.47135393
"glucose","Pseudomonadaceae",326,0.718166548
"lactate","Pseudomonadaceae",326,0.219305527
"acetate","Enterobacteriaceae",327,0.180558139
"succinate","Enterobacteriaceae",327,0.342603052
"glucose","Enterobacteriaceae",327,0.603057452
"lactate","Enterobacteriaceae",327,0.331662966
"glucose","Enterobacteriaceae",332,0.542898869
"succinate","Enterobacteriaceae",332,0.336510158
"lactate","Enterobacteriaceae",332,0.171885587
"acetate","Enterobacteriaceae",332,0.105520578
"succinate","Pseudomonadaceae",335,0.424300289
"glucose","Pseudomonadaceae",335,0.385876777
"lactate","Pseudomonadaceae",335,0.332061866
"acetate","Pseudomonadaceae",335,0.365342456
"lactate","Enterobacteriaceae",338,0.258546671
"glucose","Enterobacteriaceae",338,0.522154309
"succinate","Enterobacteriaceae",338,0.25669105
"acetate","Enterobacteriaceae",338,0.16515024
"glucose","Enterobacteriaceae",340,0.495230513
"acetate","Enterobacteriaceae",340,0.284046029
"lactate","Enterobacteriaceae",340,0.512064532
"succinate","Enterobacteriaceae",340,0.313566114
"succinate","Enterobacteriaceae",344,0.336876447
"acetate","Enterobacteriaceae",344,0.299348347
"lactate","Enterobacteriaceae",344,0.18000008
"glucose","Enterobacteriaceae",344,0.800514787
"succinate","Enterobacteriaceae",345,0.213909813
"glucose","Enterobacteriaceae",345,0.733411451
"lactate","Enterobacteriaceae",345,0.563718038
"acetate","Enterobacteriaceae",345,0.208051991
"glucose","Enterobacteriaceae",346,0.720285263
"lactate","Enterobacteriaceae",346,0.27723023
"acetate","Enterobacteriaceae",346,0.134905461
"succinate","Enterobacteriaceae",346,0.091296269
"succinate","Enterobacteriaceae",348,0.33513583
"lactate","Enterobacteriaceae",348,0.266556778
"acetate","Enterobacteriaceae",348,0.225228019
"glucose","Enterobacteriaceae",348,0.652514423
"lactate","Pseudomonadaceae",350,0.966876468
"acetate","Pseudomonadaceae",350,0.530421167
"succinate","Pseudomonadaceae",350,0.621400161
"glucose","Pseudomonadaceae",350,0.344933217
"lactate","Pseudomonadaceae",352,0.445903978
"succinate","Pseudomonadaceae",352,0.690138626
"acetate","Pseudomonadaceae",352,0.549471989
"glucose","Pseudomonadaceae",352,0.172844248
"lactate","Enterobacteriaceae",356,0.436057166
"acetate","Enterobacteriaceae",356,0.302973385
"glucose","Enterobacteriaceae",356,0.573197907
"succinate","Enterobacteriaceae",356,0.176586125
"acetate","Enterobacteriaceae",358,0.214678786
"lactate","Enterobacteriaceae",358,0.492571488
"glucose","Enterobacteriaceae",358,0.730176952
"succinate","Enterobacteriaceae",358,0.407006521
"glucose","Enterobacteriaceae",360,0.679066765
"lactate","Enterobacteriaceae",360,0.415435062
"succinate","Enterobacteriaceae",360,0.270625209
"acetate","Enterobacteriaceae",360,0.355893875
"glucose","Enterobacteriaceae",364,0.495718084
"succinate","Enterobacteriaceae",364,0.303239324
"acetate","Enterobacteriaceae",364,0.264868961
"lactate","Enterobacteriaceae",364,0.585331837
"lactate","Pseudomonadaceae",428,0.646321963
"glucose","Pseudomonadaceae",428,0.660662379
"acetate","Pseudomonadaceae",428,0.413907586
"succinate","Pseudomonadaceae",428,0.372067365
"glucose","Pseudomonadaceae",432,0.407815908
"acetate","Pseudomonadaceae",432,0.63871565
"lactate","Pseudomonadaceae",432,0.87847798
"succinate","Pseudomonadaceae",432,0.57400225
"succinate","Enterobacteriaceae",435,0.266078895
"glucose","Enterobacteriaceae",435,0.963391152
"lactate","Enterobacteriaceae",435,0.365193288
"acetate","Enterobacteriaceae",435,0.184322207
"succinate","Enterobacteriaceae",438,0.459896529
"lactate","Enterobacteriaceae",438,0.328994045
"acetate","Enterobacteriaceae",438,0.101303997
"glucose","Enterobacteriaceae",438,0.724565152
"succinate","Enterobacteriaceae",439,0.395158495
"acetate","Enterobacteriaceae",439,0.213834655
"lactate","Enterobacteriaceae",439,0.352457207
"glucose","Enterobacteriaceae",439,0.886795073
"succinate","Enterobacteriaceae",440,0.209102879
"acetate","Enterobacteriaceae",440,0.149796715
"lactate","Enterobacteriaceae",440,0.353251478
"glucose","Enterobacteriaceae",440,0.55826795
"lactate","Pseudomonadaceae",441,1.009212379
"succinate","Pseudomonadaceae",441,0.178363235
"acetate","Pseudomonadaceae",441,0.207219463
"glucose","Pseudomonadaceae",441,0.538781812
"succinate","Enterobacteriaceae",442,0.153989774
"glucose","Enterobacteriaceae",442,0.950480242
"lactate","Enterobacteriaceae",442,0.179591548
"acetate","Enterobacteriaceae",442,0.110925778
"succinate","Pseudomonadaceae",444,0.332687248
"glucose","Pseudomonadaceae",444,0.594327192
"lactate","Pseudomonadaceae",444,0.388728851
"acetate","Pseudomonadaceae",444,0.141953854
"succinate","Enterobacteriaceae",448,0.336128981
"glucose","Enterobacteriaceae",448,0.712004097
"lactate","Enterobacteriaceae",448,0.516538621
"acetate","Enterobacteriaceae",448,0.192776246
"acetate","Pseudomonadaceae",449,0.32232522
"glucose","Pseudomonadaceae",449,0.563409262
"succinate","Pseudomonadaceae",449,0.636207711
"lactate","Pseudomonadaceae",449,0.401626727
"succinate","Enterobacteriaceae",458,0.509705899
"glucose","Enterobacteriaceae",458,0.712235343
"acetate","Enterobacteriaceae",458,0.625685019
"lactate","Enterobacteriaceae",458,0.4420866
"glucose","Enterobacteriaceae",460,0.810570687
"succinate","Enterobacteriaceae",460,0.71481728
"acetate","Enterobacteriaceae",460,0.17270347
"lactate","Enterobacteriaceae",460,0.204061058
"succinate","Enterobacteriaceae",461,0.156070486
"acetate","Enterobacteriaceae",461,0.213741304
"glucose","Enterobacteriaceae",461,0.673103878
"lactate","Enterobacteriaceae",461,0.54679734
"lactate","Pseudomonadaceae",462,0.621292497
"acetate","Pseudomonadaceae",462,0.295953078
"glucose","Pseudomonadaceae",462,0.753881424
"succinate","Pseudomonadaceae",462,0.78355939
"glucose","Pseudomonadaceae",523,0.69769363
"lactate","Pseudomonadaceae",523,0.369579845
"acetate","Pseudomonadaceae",523,0.181612908
"succinate","Pseudomonadaceae",523,0.211294367
