"E","P","R_F","Experiment","type","variable"
"iE2348C_1286","303.432_PID",0.302253616,"fba","published","R/F"
"iAF1260","303.432_PID",0.46020037,"fba","published","R/F"
"iEC042_1314","303.432_PID",0.302253616,"fba","published","R/F"
"iYS1720","303.432_PID",0.399065502,"fba","published","R/F"
"iECOK1_1307","303.432_PID",0.312762472,"fba","published","R/F"
"STM_v1_0","303.432_PID",0.428462234,"fba","published","R/F"
"iETEC_1333","303.432_PID",0.302253616,"fba","published","R/F"
"iEC55989_1330","303.432_PID",0.302253616,"fba","published","R/F"
"iEC1368_DH5a","303.432_PID",0.355598642,"fba","published","R/F"
"iECB_1328","303.432_PID",0.302253616,"fba","published","R/F"
"iECD_1391","303.432_PID",0.011845139,"fba","published","R/F"
"iG2583_1286","303.432_PID",0.262199821,"fba","published","R/F"
"iY75_1357","303.432_PID",0.302253616,"fba","published","R/F"
"iECNA114_1301","303.432_PID",0.302253616,"fba","published","R/F"
"iECBD_1354","303.432_PID",0.011845138,"fba","published","R/F"
"iAF1260b","303.432_PID",0.46020037,"fba","published","R/F"
"iEcE24377_1341","303.432_PID",0.302253616,"fba","published","R/F"
"iECSE_1348","303.432_PID",0.302253616,"fba","published","R/F"
"iECSP_1301","303.432_PID",0.302253616,"fba","published","R/F"
"iECH74115_1262","303.432_PID",0.262199821,"fba","published","R/F"
"iECSF_1327","303.432_PID",0.302253616,"fba","published","R/F"
"iECDH1ME8569_1439","303.432_PID",0.355706669,"fba","published","R/F"
"iEC1344_C","303.432_PID",0.355598642,"fba","published","R/F"
"iUMNK88_1353","303.432_PID",0.355706669,"fba","published","R/F"
"iNRG857_1313","303.432_PID",0.302253616,"fba","published","R/F"
"iEKO11_1354","303.432_PID",0.302253616,"fba","published","R/F"
"iECP_1309","303.432_PID",0.312762472,"fba","published","R/F"
"iECs_1301","303.432_PID",0.302253616,"fba","published","R/F"
"iEC1349_Crooks","303.432_PID",0.326074053,"fba","published","R/F"
"iYL1228","303.432_PID",0.355350814,"fba","published","R/F"
"iML1515","303.432_PID",0.506711233,"fba","published","R/F"
"iUTI89_1310","303.432_PID",0.355706669,"fba","published","R/F"
"iECO103_1326","303.432_PID",0.302253616,"fba","published","R/F"
"iECO26_1355","303.432_PID",0.302253616,"fba","published","R/F"
"iUMN146_1321","303.432_PID",0.312762472,"fba","published","R/F"
"iSDY_1059","303.432_PID",0.404947575,"fba","published","R/F"
"iECW_1372","303.432_PID",0.302253616,"fba","published","R/F"
"iEcDH1_1363","303.432_PID",0.302253616,"fba","published","R/F"
"iECS88_1305","303.432_PID",0.312762472,"fba","published","R/F"
"iEC1356_Bl21DE3","303.432_PID",0.003797615,"fba","published","R/F"
"iEcSMS35_1347","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEcolC_1368","1449986.3_PID",0.302253616,"fba","published","R/F"
"iZ_1308","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECED1_1282","1449986.3_PID",0.302252506,"fba","published","R/F"
"iEC1364_W","1449986.3_PID",0.327644302,"fba","published","R/F"
"iJO1366","1449986.3_PID",0.355596149,"fba","published","R/F"
"iLF82_1304","1449986.3_PID",0.302253616,"fba","published","R/F"
"e_coli_core","1449986.3_PID",0.251448434,"fba","published","R/F"
"iJR904","1449986.3_PID",0.37240862,"fba","published","R/F"
"iWFL_1372","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEcHS_1320","1449986.3_PID",0.355706669,"fba","published","R/F"
"iECIAI39_1322","1449986.3_PID",0.312752262,"fba","published","R/F"
"iECO111_1330","1449986.3_PID",0.302253616,"fba","published","R/F"
"iB21_1397","1449986.3_PID",0.011845139,"fba","published","R/F"
"iEC1372_W3110","1449986.3_PID",0.355598642,"fba","published","R/F"
"iECIAI1_1343","1449986.3_PID",0.356876995,"fba","published","R/F"
"iAPECO1_1312","1449986.3_PID",0.312762472,"fba","published","R/F"
"iECABU_c1320","1449986.3_PID",0.302253616,"fba","published","R/F"
"iBWG_1329","1449986.3_PID",0.302253616,"fba","published","R/F"
"iE2348C_1286","1449986.3_PID",0.302253616,"fba","published","R/F"
"iAF1260","1449986.3_PID",0.46020037,"fba","published","R/F"
"iEC042_1314","1449986.3_PID",0.302253616,"fba","published","R/F"
"iYS1720","1449986.3_PID",0.399065502,"fba","published","R/F"
"iECOK1_1307","1449986.3_PID",0.312762472,"fba","published","R/F"
"STM_v1_0","1449986.3_PID",0.428462234,"fba","published","R/F"
"iETEC_1333","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEC55989_1330","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEC1368_DH5a","1449986.3_PID",0.355598642,"fba","published","R/F"
"iECB_1328","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECD_1391","1449986.3_PID",0.011845139,"fba","published","R/F"
"iG2583_1286","1449986.3_PID",0.262199821,"fba","published","R/F"
"iY75_1357","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECNA114_1301","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECBD_1354","1449986.3_PID",0.011845138,"fba","published","R/F"
"iAF1260b","1449986.3_PID",0.46020037,"fba","published","R/F"
"iEcE24377_1341","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECSE_1348","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECSP_1301","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECH74115_1262","1449986.3_PID",0.262199821,"fba","published","R/F"
"iECSF_1327","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECDH1ME8569_1439","1449986.3_PID",0.355706669,"fba","published","R/F"
"iEC1344_C","1449986.3_PID",0.355598642,"fba","published","R/F"
"iUMNK88_1353","1449986.3_PID",0.355706669,"fba","published","R/F"
"iNRG857_1313","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEKO11_1354","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECP_1309","1449986.3_PID",0.312762472,"fba","published","R/F"
"iECs_1301","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEC1349_Crooks","1449986.3_PID",0.326074053,"fba","published","R/F"
"iYL1228","1449986.3_PID",0.355350814,"fba","published","R/F"
"iML1515","1449986.3_PID",0.506711233,"fba","published","R/F"
"iUTI89_1310","1449986.3_PID",0.355706669,"fba","published","R/F"
"iECO103_1326","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECO26_1355","1449986.3_PID",0.302253616,"fba","published","R/F"
"iUMN146_1321","1449986.3_PID",0.312762472,"fba","published","R/F"
"iSDY_1059","1449986.3_PID",0.404947575,"fba","published","R/F"
"iECW_1372","1449986.3_PID",0.302253616,"fba","published","R/F"
"iEcDH1_1363","1449986.3_PID",0.302253616,"fba","published","R/F"
"iECS88_1305","1449986.3_PID",0.312762472,"fba","published","R/F"
"iEC1356_Bl21DE3","1449986.3_PID",0.003797615,"fba","published","R/F"
"iEcSMS35_1347","303.491_PID",0.303265459,"fba","published","R/F"
"iEcolC_1368","303.491_PID",0.303265459,"fba","published","R/F"
"iZ_1308","303.491_PID",0.303265459,"fba","published","R/F"
"iECED1_1282","303.491_PID",0.303264346,"fba","published","R/F"
"iEC1364_W","303.491_PID",0.328741144,"fba","published","R/F"
"iJO1366","303.491_PID",0.356786565,"fba","published","R/F"
"iLF82_1304","303.491_PID",0.303265459,"fba","published","R/F"
"e_coli_core","303.491_PID",0.252290199,"fba","published","R/F"
"iJR904","303.491_PID",0.373655318,"fba","published","R/F"
"iWFL_1372","303.491_PID",0.303265459,"fba","published","R/F"
"iEcHS_1320","303.491_PID",0.356897455,"fba","published","R/F"
"iECIAI39_1322","303.491_PID",0.313799251,"fba","published","R/F"
"iECO111_1330","303.491_PID",0.303265459,"fba","published","R/F"
"iB21_1397","303.491_PID",0.011884792,"fba","published","R/F"
"iEC1372_W3110","303.491_PID",0.356789067,"fba","published","R/F"
"iECIAI1_1343","303.491_PID",0.358071699,"fba","published","R/F"
"iAPECO1_1312","303.491_PID",0.313809496,"fba","published","R/F"
"iECABU_c1320","303.491_PID",0.303265459,"fba","published","R/F"
"iBWG_1329","303.491_PID",0.303265459,"fba","published","R/F"
"iE2348C_1286","303.491_PID",0.303265459,"fba","published","R/F"
"iAF1260","303.491_PID",0.461740966,"fba","published","R/F"
"iEC042_1314","303.491_PID",0.303265459,"fba","published","R/F"
"iYS1720","303.491_PID",0.400401439,"fba","published","R/F"
"iECOK1_1307","303.491_PID",0.313809496,"fba","published","R/F"
"STM_v1_0","303.491_PID",0.429896582,"fba","published","R/F"
"iETEC_1333","303.491_PID",0.303265459,"fba","published","R/F"
"iEC55989_1330","303.491_PID",0.303265459,"fba","published","R/F"
"iEC1368_DH5a","303.491_PID",0.356789067,"fba","published","R/F"
"iECB_1328","303.491_PID",0.303265459,"fba","published","R/F"
"iECD_1391","303.491_PID",0.011884792,"fba","published","R/F"
"iG2583_1286","303.491_PID",0.263077578,"fba","published","R/F"
"iY75_1357","303.491_PID",0.303265459,"fba","published","R/F"
"iECNA114_1301","303.491_PID",0.303265459,"fba","published","R/F"
"iECBD_1354","303.491_PID",0.011884792,"fba","published","R/F"
"iAF1260b","303.491_PID",0.461740966,"fba","published","R/F"
"iEcE24377_1341","303.491_PID",0.303265459,"fba","published","R/F"
"iECSE_1348","303.491_PID",0.303265459,"fba","published","R/F"
"iECSP_1301","303.491_PID",0.303265459,"fba","published","R/F"
"iECH74115_1262","303.491_PID",0.263077578,"fba","published","R/F"
"iECSF_1327","303.491_PID",0.303265459,"fba","published","R/F"
"iECDH1ME8569_1439","303.491_PID",0.356897455,"fba","published","R/F"
"iEC1344_C","303.491_PID",0.356789067,"fba","published","R/F"
"iUMNK88_1353","303.491_PID",0.356897455,"fba","published","R/F"
"iNRG857_1313","303.491_PID",0.303265459,"fba","published","R/F"
"iEKO11_1354","303.491_PID",0.303265459,"fba","published","R/F"
"iECP_1309","303.491_PID",0.313809496,"fba","published","R/F"
"iECs_1301","303.491_PID",0.303265459,"fba","published","R/F"
"iEC1349_Crooks","303.491_PID",0.32716564,"fba","published","R/F"
"iYL1228","303.491_PID",0.356540409,"fba","published","R/F"
"iML1515","303.491_PID",0.508407532,"fba","published","R/F"
"iUTI89_1310","303.491_PID",0.356897455,"fba","published","R/F"
"iECO103_1326","303.491_PID",0.303265459,"fba","published","R/F"
"iECO26_1355","303.491_PID",0.303265459,"fba","published","R/F"
"iUMN146_1321","303.491_PID",0.313809496,"fba","published","R/F"
"iSDY_1059","303.491_PID",0.406303203,"fba","published","R/F"
"iECW_1372","303.491_PID",0.303265459,"fba","published","R/F"
"iEcDH1_1363","303.491_PID",0.303265459,"fba","published","R/F"
"iECS88_1305","303.491_PID",0.313809496,"fba","published","R/F"
"iEC1356_Bl21DE3","303.491_PID",0.003810328,"fba","published","R/F"
"iEcSMS35_1347","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEcolC_1368","1193146.3_PID",0.303164068,"fba","published","R/F"
"iZ_1308","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECED1_1282","1193146.3_PID",0.303162955,"fba","published","R/F"
"iEC1364_W","1193146.3_PID",0.328631236,"fba","published","R/F"
"iJO1366","1193146.3_PID",0.35666728,"fba","published","R/F"
"iLF82_1304","1193146.3_PID",0.303164068,"fba","published","R/F"
"e_coli_core","1193146.3_PID",0.252205851,"fba","published","R/F"
"iJR904","1193146.3_PID",0.373530394,"fba","published","R/F"
"iWFL_1372","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEcHS_1320","1193146.3_PID",0.356778134,"fba","published","R/F"
"iECIAI39_1322","1193146.3_PID",0.313694338,"fba","published","R/F"
"iECO111_1330","1193146.3_PID",0.303164068,"fba","published","R/F"
"iB21_1397","1193146.3_PID",0.011880819,"fba","published","R/F"
"iEC1372_W3110","1193146.3_PID",0.356669782,"fba","published","R/F"
"iECIAI1_1343","1193146.3_PID",0.357951985,"fba","published","R/F"
"iAPECO1_1312","1193146.3_PID",0.31370458,"fba","published","R/F"
"iECABU_c1320","1193146.3_PID",0.303164068,"fba","published","R/F"
"iBWG_1329","1193146.3_PID",0.303164068,"fba","published","R/F"
"iE2348C_1286","1193146.3_PID",0.303164068,"fba","published","R/F"
"iAF1260","1193146.3_PID",0.461586592,"fba","published","R/F"
"iEC042_1314","1193146.3_PID",0.303164068,"fba","published","R/F"
"iYS1720","1193146.3_PID",0.400267573,"fba","published","R/F"
"iECOK1_1307","1193146.3_PID",0.31370458,"fba","published","R/F"
"STM_v1_0","1193146.3_PID",0.429752854,"fba","published","R/F"
"iETEC_1333","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEC55989_1330","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEC1368_DH5a","1193146.3_PID",0.356669782,"fba","published","R/F"
"iECB_1328","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECD_1391","1193146.3_PID",0.011880819,"fba","published","R/F"
"iG2583_1286","1193146.3_PID",0.262989623,"fba","published","R/F"
"iY75_1357","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECNA114_1301","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECBD_1354","1193146.3_PID",0.011880818,"fba","published","R/F"
"iAF1260b","1193146.3_PID",0.461586592,"fba","published","R/F"
"iEcE24377_1341","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECSE_1348","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","1193146.3_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","1193146.3_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","1193146.3_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","1193146.3_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECP_1309","1193146.3_PID",0.31370458,"fba","published","R/F"
"iECs_1301","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","1193146.3_PID",0.327056258,"fba","published","R/F"
"iYL1228","1193146.3_PID",0.356421207,"fba","published","R/F"
"iML1515","1193146.3_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","1193146.3_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","1193146.3_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","1193146.3_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","1193146.3_PID",0.406167364,"fba","published","R/F"
"iECW_1372","1193146.3_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","1193146.3_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","1193146.3_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","1193146.3_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEcolC_1368","1410669.4_PID",0.303164068,"fba","published","R/F"
"iZ_1308","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECED1_1282","1410669.4_PID",0.303162955,"fba","published","R/F"
"iEC1364_W","1410669.4_PID",0.328631236,"fba","published","R/F"
"iJO1366","1410669.4_PID",0.35666728,"fba","published","R/F"
"iLF82_1304","1410669.4_PID",0.303164068,"fba","published","R/F"
"e_coli_core","1410669.4_PID",0.252205851,"fba","published","R/F"
"iJR904","1410669.4_PID",0.373530394,"fba","published","R/F"
"iWFL_1372","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEcHS_1320","1410669.4_PID",0.356778134,"fba","published","R/F"
"iECIAI39_1322","1410669.4_PID",0.313694338,"fba","published","R/F"
"iECO111_1330","1410669.4_PID",0.303164068,"fba","published","R/F"
"iB21_1397","1410669.4_PID",0.011880819,"fba","published","R/F"
"iEC1372_W3110","1410669.4_PID",0.356669782,"fba","published","R/F"
"iECIAI1_1343","1410669.4_PID",0.357951985,"fba","published","R/F"
"iAPECO1_1312","1410669.4_PID",0.31370458,"fba","published","R/F"
"iECABU_c1320","1410669.4_PID",0.303164068,"fba","published","R/F"
"iBWG_1329","1410669.4_PID",0.303164068,"fba","published","R/F"
"iE2348C_1286","1410669.4_PID",0.303164068,"fba","published","R/F"
"iAF1260","1410669.4_PID",0.461586592,"fba","published","R/F"
"iEC042_1314","1410669.4_PID",0.303164068,"fba","published","R/F"
"iYS1720","1410669.4_PID",0.400267573,"fba","published","R/F"
"iECOK1_1307","1410669.4_PID",0.31370458,"fba","published","R/F"
"STM_v1_0","1410669.4_PID",0.429752854,"fba","published","R/F"
"iETEC_1333","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEC55989_1330","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEC1368_DH5a","1410669.4_PID",0.356669782,"fba","published","R/F"
"iECB_1328","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECD_1391","1410669.4_PID",0.011880819,"fba","published","R/F"
"iG2583_1286","1410669.4_PID",0.262989623,"fba","published","R/F"
"iY75_1357","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECNA114_1301","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECBD_1354","1410669.4_PID",0.011880818,"fba","published","R/F"
"iAF1260b","1410669.4_PID",0.461586592,"fba","published","R/F"
"iEcE24377_1341","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECSE_1348","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","1410669.4_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","1410669.4_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","1410669.4_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","1410669.4_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECP_1309","1410669.4_PID",0.31370458,"fba","published","R/F"
"iECs_1301","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","1410669.4_PID",0.327056258,"fba","published","R/F"
"iYL1228","1410669.4_PID",0.356421207,"fba","published","R/F"
"iML1515","1410669.4_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","1410669.4_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","1410669.4_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","1410669.4_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","1410669.4_PID",0.406167364,"fba","published","R/F"
"iECW_1372","1410669.4_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","1410669.4_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","1410669.4_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","1410669.4_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","303.532_PID",0.302253616,"fba","published","R/F"
"iEcolC_1368","303.532_PID",0.302253616,"fba","published","R/F"
"iZ_1308","303.532_PID",0.302253616,"fba","published","R/F"
"iECED1_1282","303.532_PID",0.302252506,"fba","published","R/F"
"iEC1364_W","303.532_PID",0.327644302,"fba","published","R/F"
"iJO1366","303.532_PID",0.355596149,"fba","published","R/F"
"iLF82_1304","303.532_PID",0.302253616,"fba","published","R/F"
"e_coli_core","303.532_PID",0.251448434,"fba","published","R/F"
"iJR904","303.532_PID",0.37240862,"fba","published","R/F"
"iWFL_1372","303.532_PID",0.302253616,"fba","published","R/F"
"iEcHS_1320","303.532_PID",0.355706669,"fba","published","R/F"
"iECIAI39_1322","303.532_PID",0.312752262,"fba","published","R/F"
"iECO111_1330","303.532_PID",0.302253616,"fba","published","R/F"
"iB21_1397","303.532_PID",0.011845139,"fba","published","R/F"
"iEC1372_W3110","303.532_PID",0.355598642,"fba","published","R/F"
"iECIAI1_1343","303.532_PID",0.356876995,"fba","published","R/F"
"iAPECO1_1312","303.532_PID",0.312762472,"fba","published","R/F"
"iECABU_c1320","303.532_PID",0.302253616,"fba","published","R/F"
"iBWG_1329","303.532_PID",0.302253616,"fba","published","R/F"
"iE2348C_1286","303.532_PID",0.302253616,"fba","published","R/F"
"iAF1260","303.532_PID",0.46020037,"fba","published","R/F"
"iEC042_1314","303.532_PID",0.302253616,"fba","published","R/F"
"iYS1720","303.532_PID",0.399065502,"fba","published","R/F"
"iECOK1_1307","303.532_PID",0.312762472,"fba","published","R/F"
"STM_v1_0","303.532_PID",0.428462234,"fba","published","R/F"
"iETEC_1333","303.532_PID",0.302253616,"fba","published","R/F"
"iEC55989_1330","303.532_PID",0.302253616,"fba","published","R/F"
"iEC1368_DH5a","303.532_PID",0.355598642,"fba","published","R/F"
"iECB_1328","303.532_PID",0.302253616,"fba","published","R/F"
"iECD_1391","303.532_PID",0.011845139,"fba","published","R/F"
"iG2583_1286","303.532_PID",0.262199821,"fba","published","R/F"
"iY75_1357","303.532_PID",0.302253616,"fba","published","R/F"
"iECNA114_1301","303.532_PID",0.302253616,"fba","published","R/F"
"iECBD_1354","303.532_PID",0.011845138,"fba","published","R/F"
"iAF1260b","303.532_PID",0.46020037,"fba","published","R/F"
"iEcE24377_1341","303.532_PID",0.302253616,"fba","published","R/F"
"iECSE_1348","303.532_PID",0.302253616,"fba","published","R/F"
"iECSP_1301","303.532_PID",0.302253616,"fba","published","R/F"
"iECH74115_1262","303.532_PID",0.262199821,"fba","published","R/F"
"iECSF_1327","303.532_PID",0.302253616,"fba","published","R/F"
"iECDH1ME8569_1439","303.532_PID",0.355706669,"fba","published","R/F"
"iEC1344_C","303.532_PID",0.355598642,"fba","published","R/F"
"iUMNK88_1353","303.532_PID",0.355706669,"fba","published","R/F"
"iNRG857_1313","303.532_PID",0.302253616,"fba","published","R/F"
"iEKO11_1354","303.532_PID",0.302253616,"fba","published","R/F"
"iECP_1309","303.532_PID",0.312762472,"fba","published","R/F"
"iECs_1301","303.532_PID",0.302253616,"fba","published","R/F"
"iEC1349_Crooks","303.532_PID",0.326074053,"fba","published","R/F"
"iYL1228","303.532_PID",0.355350814,"fba","published","R/F"
"iML1515","303.532_PID",0.506711233,"fba","published","R/F"
"iUTI89_1310","303.532_PID",0.355706669,"fba","published","R/F"
"iECO103_1326","303.532_PID",0.302253616,"fba","published","R/F"
"iECO26_1355","303.532_PID",0.302253616,"fba","published","R/F"
"iUMN146_1321","303.532_PID",0.312762472,"fba","published","R/F"
"iSDY_1059","303.532_PID",0.404947575,"fba","published","R/F"
"iECW_1372","303.532_PID",0.302253616,"fba","published","R/F"
"iEcDH1_1363","303.532_PID",0.302253616,"fba","published","R/F"
"iECS88_1305","303.532_PID",0.312762472,"fba","published","R/F"
"iEC1356_Bl21DE3","303.532_PID",0.003797615,"fba","published","R/F"
"iEcSMS35_1347","303.431_PID",0.303164068,"fba","published","R/F"
"iEcolC_1368","303.431_PID",0.303164068,"fba","published","R/F"
"iZ_1308","303.431_PID",0.303164068,"fba","published","R/F"
"iECED1_1282","303.431_PID",0.303162955,"fba","published","R/F"
"iEC1364_W","303.431_PID",0.328631236,"fba","published","R/F"
"iJO1366","303.431_PID",0.35666728,"fba","published","R/F"
"iLF82_1304","303.431_PID",0.303164068,"fba","published","R/F"
"e_coli_core","303.431_PID",0.252205851,"fba","published","R/F"
"iJR904","303.431_PID",0.373530394,"fba","published","R/F"
"iWFL_1372","303.431_PID",0.303164068,"fba","published","R/F"
"iEcHS_1320","303.431_PID",0.356778134,"fba","published","R/F"
"iECIAI39_1322","303.431_PID",0.313694338,"fba","published","R/F"
"iECO111_1330","303.431_PID",0.303164068,"fba","published","R/F"
"iB21_1397","303.431_PID",0.011880819,"fba","published","R/F"
"iEC1372_W3110","303.431_PID",0.356669782,"fba","published","R/F"
"iECIAI1_1343","303.431_PID",0.357951985,"fba","published","R/F"
"iAPECO1_1312","303.431_PID",0.31370458,"fba","published","R/F"
"iECABU_c1320","303.431_PID",0.303164068,"fba","published","R/F"
"iBWG_1329","303.431_PID",0.303164068,"fba","published","R/F"
"iE2348C_1286","303.431_PID",0.303164068,"fba","published","R/F"
"iAF1260","303.431_PID",0.461586592,"fba","published","R/F"
"iEC042_1314","303.431_PID",0.303164068,"fba","published","R/F"
"iYS1720","303.431_PID",0.400267573,"fba","published","R/F"
"iECOK1_1307","303.431_PID",0.31370458,"fba","published","R/F"
"STM_v1_0","303.431_PID",0.429752854,"fba","published","R/F"
"iETEC_1333","303.431_PID",0.303164068,"fba","published","R/F"
"iEC55989_1330","303.431_PID",0.303164068,"fba","published","R/F"
"iEC1368_DH5a","303.431_PID",0.356669782,"fba","published","R/F"
"iECB_1328","303.431_PID",0.303164068,"fba","published","R/F"
"iECD_1391","303.431_PID",0.011880819,"fba","published","R/F"
"iG2583_1286","303.431_PID",0.262989623,"fba","published","R/F"
"iY75_1357","303.431_PID",0.303164068,"fba","published","R/F"
"iECNA114_1301","303.431_PID",0.303164068,"fba","published","R/F"
"iECBD_1354","303.431_PID",0.011880818,"fba","published","R/F"
"iAF1260b","303.431_PID",0.461586592,"fba","published","R/F"
"iEcE24377_1341","303.431_PID",0.303164068,"fba","published","R/F"
"iECSE_1348","303.431_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","303.431_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","303.431_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","303.431_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","303.431_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","303.431_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","303.431_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","303.431_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","303.431_PID",0.303164068,"fba","published","R/F"
"iECP_1309","303.431_PID",0.31370458,"fba","published","R/F"
"iECs_1301","303.431_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","303.431_PID",0.327056258,"fba","published","R/F"
"iYL1228","303.431_PID",0.356421207,"fba","published","R/F"
"iML1515","303.431_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","303.431_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","303.431_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","303.431_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","303.431_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","303.431_PID",0.406167364,"fba","published","R/F"
"iECW_1372","303.431_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","303.431_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","303.431_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","303.431_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","390235.5_PID",0.271380971,"fba","published","R/F"
"iEcolC_1368","390235.5_PID",0.271380971,"fba","published","R/F"
"iZ_1308","390235.5_PID",0.271380971,"fba","published","R/F"
"iECED1_1282","390235.5_PID",0.271379973,"fba","published","R/F"
"iEC1364_W","390235.5_PID",0.294219478,"fba","published","R/F"
"iJO1366","390235.5_PID",0.319361708,"fba","published","R/F"
"iLF82_1304","390235.5_PID",0.271380971,"fba","published","R/F"
"e_coli_core","390235.5_PID",0.22568254,"fba","published","R/F"
"iJR904","390235.5_PID",0.334484251,"fba","published","R/F"
"iWFL_1372","390235.5_PID",0.271380971,"fba","published","R/F"
"iEcHS_1320","390235.5_PID",0.319461119,"fba","published","R/F"
"iECIAI39_1322","390235.5_PID",0.280824332,"fba","published","R/F"
"iECO111_1330","390235.5_PID",0.271380971,"fba","published","R/F"
"iB21_1397","390235.5_PID",0.010163289,"fba","published","R/F"
