"E","P","R_F","Experiment","type","variable"
"iECSE_1348","303.429_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","303.429_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","303.429_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","303.429_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","303.429_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","303.429_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","303.429_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","303.429_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","303.429_PID",0.303164068,"fba","published","R/F"
"iECP_1309","303.429_PID",0.31370458,"fba","published","R/F"
"iECs_1301","303.429_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","303.429_PID",0.327056258,"fba","published","R/F"
"iYL1228","303.429_PID",0.356421207,"fba","published","R/F"
"iML1515","303.429_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","303.429_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","303.429_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","303.429_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","303.429_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","303.429_PID",0.406167364,"fba","published","R/F"
"iECW_1372","303.429_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","303.429_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","303.429_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","303.429_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","76869.5_PID",0.303164068,"fba","published","R/F"
"iEcolC_1368","76869.5_PID",0.303164068,"fba","published","R/F"
"iZ_1308","76869.5_PID",0.303164068,"fba","published","R/F"
"iECED1_1282","76869.5_PID",0.303162955,"fba","published","R/F"
"iEC1364_W","76869.5_PID",0.328631236,"fba","published","R/F"
"iJO1366","76869.5_PID",0.35666728,"fba","published","R/F"
"iLF82_1304","76869.5_PID",0.303164068,"fba","published","R/F"
"e_coli_core","76869.5_PID",0.252205851,"fba","published","R/F"
"iJR904","76869.5_PID",0.373530394,"fba","published","R/F"
"iWFL_1372","76869.5_PID",0.303164068,"fba","published","R/F"
"iEcHS_1320","76869.5_PID",0.356778134,"fba","published","R/F"
"iECIAI39_1322","76869.5_PID",0.313694338,"fba","published","R/F"
"iECO111_1330","76869.5_PID",0.303164068,"fba","published","R/F"
"iB21_1397","76869.5_PID",0.011880819,"fba","published","R/F"
"iEC1372_W3110","76869.5_PID",0.356669782,"fba","published","R/F"
"iECIAI1_1343","76869.5_PID",0.357951985,"fba","published","R/F"
"iAPECO1_1312","76869.5_PID",0.31370458,"fba","published","R/F"
"iECABU_c1320","76869.5_PID",0.303164068,"fba","published","R/F"
"iBWG_1329","76869.5_PID",0.303164068,"fba","published","R/F"
"iE2348C_1286","76869.5_PID",0.303164068,"fba","published","R/F"
"iAF1260","76869.5_PID",0.461586592,"fba","published","R/F"
"iEC042_1314","76869.5_PID",0.303164068,"fba","published","R/F"
"iYS1720","76869.5_PID",0.400267573,"fba","published","R/F"
"iECOK1_1307","76869.5_PID",0.31370458,"fba","published","R/F"
"STM_v1_0","76869.5_PID",0.429752854,"fba","published","R/F"
"iETEC_1333","76869.5_PID",0.303164068,"fba","published","R/F"
"iEC55989_1330","76869.5_PID",0.303164068,"fba","published","R/F"
