"time_hours","variable","Family","SangerID","value"
16,"pH","Enterobacteriaceae",295,5.630140712
16,"pH","Enterobacteriaceae",303,5.669198556
16,"pH","Pseudomonadaceae",304,6.670972254
16,"pH","Enterobacteriaceae",305,5.694855903
16,"pH","Enterobacteriaceae",308,5.992143976
16,"pH","Enterobacteriaceae",310,5.853642438
16,"pH","Enterobacteriaceae",311,5.870375375
16,"pH","Pseudomonadaceae",316,6.421494952
16,"pH","Enterobacteriaceae",317,5.86866691
16,"pH","Enterobacteriaceae",320,6.073358068
16,"pH","Pseudomonadaceae",321,6.362721652
16,"pH","Enterobacteriaceae",322,5.84115609
16,"pH","Pseudomonadaceae",325,6.362721652
16,"pH","Enterobacteriaceae",448,5.835797571
16,"pH","Pseudomonadaceae",449,6.325004159
28,"pH","Pseudomonadaceae",326,6.258733962
28,"pH","Enterobacteriaceae",327,6.461916151
28,"pH","Enterobacteriaceae",332,5.800884866
28,"pH","Pseudomonadaceae",335,6.602446454
28,"pH","Moraxellaceae",336,6.749215537
28,"pH","Enterobacteriaceae",338,6.342775402
28,"pH","Enterobacteriaceae",340,6.224969492
28,"pH","Enterobacteriaceae",461,6.226731732
28,"pH","Enterobacteriaceae",280,6.337729291
28,"pH","Aeromonadaceae",343,6.028758816
28,"pH","Enterobacteriaceae",344,5.631428185
28,"pH","Enterobacteriaceae",345,6.285809737
28,"pH","Enterobacteriaceae",346,5.218803804
28,"pH","Enterobacteriaceae",348,5.782564725
28,"pH","Pseudomonadaceae",350,6.903519956
28,"pH","Moraxellaceae",453,6.859338609
28,"pH","Moraxellaceae",454,6.791112501
28,"pH","Enterobacteriaceae",458,6.119423938
28,"pH","Enterobacteriaceae",460,5.616201058
28,"pH","Pseudomonadaceae",352,6.337729291
28,"pH","Enterobacteriaceae",356,6.226731732
28,"pH","Pseudomonadaceae",462,6.353967752
28,"pH","Enterobacteriaceae",358,6.281129459
28,"pH","Enterobacteriaceae",360,6.448305977
28,"pH","Enterobacteriaceae",259,4.692081776
28,"pH","Enterobacteriaceae",364,6.299053631
28,"pH","Pseudomonadaceae",428,6.874690642
28,"pH","Pseudomonadaceae",432,6.362721652
28,"pH","Pseudomonadaceae",267,6.31858073
28,"pH","Enterobacteriaceae",269,5.966499379
28,"pH","Enterobacteriaceae",270,4.677390168
28,"pH","Enterobacteriaceae",435,4.627326655
28,"pH","Pseudomonadaceae",272,6.371606157
28,"pH","Enterobacteriaceae",273,5.837049623
28,"pH","Pseudomonadaceae",274,6.350299123
28,"pH","Enterobacteriaceae",438,6.200498901
