"ratioRF","Experiment"
1.80599872298998,"Exp."
0.297050148808424,"Exp."
0.178820375268437,"Exp."
0.207967033738937,"Exp."
0.447490093002112,"Exp."
0.0924223608409337,"Exp."
0.499658935567943,"Exp."
0.701625388998158,"Exp."
0.675562332422732,"Exp."
0.300502809239527,"Exp."
0.352542375145826,"Exp."
0.302877483930322,"Exp."
0.394847022153058,"Exp."
0.116482384352834,"Exp."
0.163535327813466,"Exp."
0.195161729554155,"Exp."
1.58039905448192,"Exp."
0.263142773521723,"Exp."
0.124840113257991,"Exp."
0.172846092282831,"Exp."
0.217668237046715,"Exp."
0.815441785098782,"Exp."
1.0031890649723,"Exp."
0.280430983645123,"Exp."
0.148941730626271,"Exp."
1.07210179256407,"Exp."
0.753889108344263,"Exp."
0.126280737471238,"Exp."
0.734516766256231,"Exp."
0.762112615135042,"Exp."
0.19353963136705,"Exp."
0.436065573628691,"Exp."
0.903463202636721,"Exp."
0.297815819193564,"Exp."
0.670727066579078,"Exp."
0.323998797141798,"Exp."
0.683001532324199,"Exp."
0.17253333303848,"Exp."
0.140892579294564,"Exp."
0.102005012273641,"Exp."
0.239289741733939,"Exp."
0.0623338967916911,"Exp."
0.121969890869893,"Exp."
0.0995248811149992,"Exp."
0.178820375268437,"Exp."
0.76444622924846,"Exp."
0.602989426523047,"Exp."
0.480471381081016,"Exp."
0.856841217001139,"Exp."
0.678244275348505,"Exp."
0.808720692921042,"Exp."
0.805008210431814,"Exp."
0.787398373868213,"Exp."
0.289064789771831,"Exp."
0.277083938003311,"Exp."
0.745533942747991,"Exp."
0.328398791003005,"Exp."
0.251280591839704,"Exp."
0.39013594702431,"Exp."
0.265687968213735,"Exp."
0.208631116169893,"Exp."
0.844379195841633,"Exp."
0.867091296501829,"Exp."
0.617733627080543,"Exp."
0.786672084118466,"Exp."
0.859983079733941,"Exp."
0.849810685102526,"Exp."
0.785946383989359,"Exp."
0.725667190521128,"Exp."
0.231307757045308,"Exp."
0.180134229113545,"Exp."
0.0769042374775265,"Exp."
0.247022121775865,"Exp."
0.0945979588710049,"Exp."
0.194187942461336,"Exp."
0.145350351975097,"Exp."
0.0779602845863872,"Exp."
0.137057149484984,"Exp."
0.0249417252470572,"Exp."
0.0208962152017533,"Exp."
0.286048551411567,"Exp."
0.656120525946517,"Exp."
0.41019884514417,"Exp."
0.151951794549674,"Exp."
0.250924609665989,"Exp."
0.482967960231047,"Exp."
0.167241838505296,"Exp."
0.0721775172922023,"Exp."
0.357098765488645,"Exp."
0.162305048782547,"Exp."
0.207303679711789,"Exp."
0.252706552682998,"Exp."
0.302318535897834,"fba"
0.302318535897834,"fba"
0.302318535897834,"fba"
0.302317426997226,"fba"
0.327714671972903,"fba"
0.355672529690644,"fba"
0.302318535897834,"fba"
0.251502440048706,"fba"
0.372488608835817,"fba"
0.302318535897834,"fba"
0.355783072838115,"fba"
0.3128194346102,"fba"
0.302318535897834,"fba"
0.0118476826686617,"fba"
0.355675021285221,"fba"
0.35695365609734,"fba"
0.312829656927119,"fba"
