"InocRep","variable","value"
"C5R5","ratioRF_corr",0.114332669287065
"C5R6","ratioRF_corr",0.177511855896061
"C5R7","ratioRF_corr",0.120888025537249
"C5R8","ratioRF_corr",0.0949271578573013
"C6R1","ratioRF_corr",0.384192534107943
"C6R2","ratioRF_corr",0.394526539908332
"C6R3","ratioRF_corr",0.281068800321647
"C6R4","ratioRF_corr",0.357935798273902
"C6R5","ratioRF_corr",0.391292301278943
"C6R6","ratioRF_corr",0.386663861721649
"C6R7","ratioRF_corr",0.357605604715158
"C6R8","ratioRF_corr",0.330178571687113
"C7R1","ratioRF_corr",0.105245029455615
"C7R2","ratioRF_corr",0.081961074246663
"C7R3","ratioRF_corr",0.0349914280522746
"C7R4","ratioRF_corr",0.112395065408019
"C7R5","ratioRF_corr",0.0430420712863072
"C7R6","ratioRF_corr",0.0883555138199079
"C7R7","ratioRF_corr",0.0661344101486691
"C7R8","ratioRF_corr",0.0354719294868062
"C8R1","ratioRF_corr",0.0623610030156677
"C8R2","ratioRF_corr",0.011348484987411
"C8R3","ratioRF_corr",0.00950777791679775
"C8R4","ratioRF_corr",0.130152090892263
"C8R5","ratioRF_corr",0.298534839305665
"C8R6","ratioRF_corr",0.186640474540597
"C8R7","ratioRF_corr",0.0691380665201017
"C8R8","ratioRF_corr",0.114170697398025
"C9R1","ratioRF_corr",0.219750421905126
"C9R2","ratioRF_corr",0.0760950365199097
"C9R3","ratioRF_corr",0.032840770367952
"C9R4","ratioRF_corr",0.162479938297333
"C9R5","ratioRF_corr",0.0738487971960589
"C9R6","ratioRF_corr",0.094323174268864
"C9R7","ratioRF_corr",0.114981481470764
"C10R1","ratioRF_corr_mock",2.06117911855357
"C10R2","ratioRF_corr_mock",0.339022146634459
"C10R3","ratioRF_corr_mock",0.204086979012366
"C10R4","ratioRF_corr_mock",0.237351943738114
"C10R5","ratioRF_corr_mock",0.510718653182939
"C10R6","ratioRF_corr_mock",0.105481270738314
"C10R7","ratioRF_corr_mock",0.570258744527951
"C11R1","ratioRF_corr_mock",0.800762249962042
"C11R2","ratioRF_corr_mock",0.771016587744734
"C11R3","ratioRF_corr_mock",0.342962654173835
"C11R4","ratioRF_corr_mock",0.402355202584431
"C11R5","ratioRF_corr_mock",0.345672860899741
"C11R6","ratioRF_corr_mock",0.450637326995197
"C11R7","ratioRF_corr_mock",0.132940879332352
"C12R1","ratioRF_corr_mock",0.186642215492198
"C12R2","ratioRF_corr_mock",0.222737301293239
"C12R3","ratioRF_corr_mock",1.803703119284
"C12R4","ratioRF_corr_mock",0.300323794849248
"C12R5","ratioRF_corr_mock",0.142479521900892
"C12R6","ratioRF_corr_mock",0.197268553738026
"C12R7","ratioRF_corr_mock",0.248423888268468
"C1R1","ratioRF_corr_mock",0.9306604475661
"C1R2","ratioRF_corr_mock",1.14493566709663
"C1R3","ratioRF_corr_mock",0.320054759910244
"C1R4","ratioRF_corr_mock",0.169986601396841
"C1R5","ratioRF_corr_mock",1.2235854874462
"C1R6","ratioRF_corr_mock",0.860410623796874
"C1R7","ratioRF_corr_mock",0.144123700552974
"C1R8","ratioRF_corr_mock",0.838301047261171
"C2R1","ratioRF_corr_mock",0.869796079203163
"C2R2","ratioRF_corr_mock",0.220886007120689
"C2R3","ratioRF_corr_mock",0.497679894920131
"C2R4","ratioRF_corr_mock",1.03111893931648
"C2R5","ratioRF_corr_mock",0.339896003182338
"C2R6","ratioRF_corr_mock",0.765498118178435
"C2R7","ratioRF_corr_mock",0.369778531182746
"C2R8","ratioRF_corr_mock",0.779506916835479
"C3R1","ratioRF_corr_mock",0.196911602863485
"C3R2","ratioRF_corr_mock",0.160800137178569
"C3R3","ratioRF_corr_mock",0.116417912487857
"C3R4","ratioRF_corr_mock",0.273100425081978
"C3R5","ratioRF_corr_mock",0.0711414270727699
"C3R6","ratioRF_corr_mock",0.139203748570245
"C3R7","ratioRF_corr_mock",0.113587348717024
"C3R8","ratioRF_corr_mock",0.204086979012366
"C4R1","ratioRF_corr_mock",0.87245942365635
"C4R2","ratioRF_corr_mock",0.688189420533047
"C4R3","ratioRF_corr_mock",0.548360065342239
"C4R4","ratioRF_corr_mock",0.977909453598532
"C4R5","ratioRF_corr_mock",0.774077478478147
"C4R6","ratioRF_corr_mock",0.922989691948014
"C4R7","ratioRF_corr_mock",0.918752650532988
"C4R8","ratioRF_corr_mock",0.898654614502296
"C5R1","ratioRF_corr_mock",0.329908488307432
"C5R2","ratioRF_corr_mock",0.316234790107427
"C5R3","ratioRF_corr_mock",0.850874906722511
"C5R4","ratioRF_corr_mock",0.374800226576566
"C5R5","ratioRF_corr_mock",0.286785534344287
"C5R6","ratioRF_corr_mock",0.445260595795057
"C5R7","ratioRF_corr_mock",0.303228615370463
"C5R8","ratioRF_corr_mock",0.238109858360234
"C6R1","ratioRF_corr_mock",0.963686598697272
"C6R2","ratioRF_corr_mock",0.989607828332352
"C6R3","ratioRF_corr_mock",0.705016917652516
"C6R4","ratioRF_corr_mock",0.897825702916069
"C6R5","ratioRF_corr_mock",0.981495248968028
"C6R6","ratioRF_corr_mock",0.969885535664773
"C6R7","ratioRF_corr_mock",0.896997464261519
"C6R8","ratioRF_corr_mock",0.828201061873001
"C7R1","ratioRF_corr_mock",0.263990617884782
"C7R2","ratioRF_corr_mock",0.205586475150372
"C7R3","ratioRF_corr_mock",0.0877704986161511
"C7R4","ratioRF_corr_mock",0.281925359494308
"C7R5","ratioRF_corr_mock",0.107964272067642
"C7R6","ratioRF_corr_mock",0.221625921979353
"C7R7","ratioRF_corr_mock",0.16588777530777
"C7R8","ratioRF_corr_mock",0.0889757609573054
"C8R1","ratioRF_corr_mock",0.156422776478614
"C8R2","ratioRF_corr_mock",0.0284658912575654
"C8R3","ratioRF_corr_mock",0.0238487668249002
"C8R4","ratioRF_corr_mock",0.326466067531816
"C8R5","ratioRF_corr_mock",0.748827731780656
"C8R6","ratioRF_corr_mock",0.468158301167661
"C8R7","ratioRF_corr_mock",0.173421975312365
"C8R8","ratioRF_corr_mock",0.286379253313355
"C9R1","ratioRF_corr_mock",0.551209401139853
"C9R2","ratioRF_corr_mock",0.19087244131874
"C9R3","ratioRF_corr_mock",0.0823759117755213
"C9R4","ratioRF_corr_mock",0.407555392657129
"C9R5","ratioRF_corr_mock",0.185238102955326
"C9R6","ratioRF_corr_mock",0.236594860440346
"C9R7","ratioRF_corr_mock",0.288412977750895
