"w_ratio","rf_pair","Experiment","type","variable"
0.373264074309205,"303.429_PID_iWFL_1372","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"303.429_PID_iEcHS_1320","fba","published","w[ace,R] / w[glu,F]"
0.37616629706161,"303.429_PID_iECIAI39_1322","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECO111_1330","fba","published","w[ace,R] / w[glu,F]"
0.271712742791962,"303.429_PID_iB21_1397","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"303.429_PID_iEC1372_W3110","fba","published","w[ace,R] / w[glu,F]"
0.389845217259026,"303.429_PID_iECIAI1_1343","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"303.429_PID_iAPECO1_1312","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECABU_c1320","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iBWG_1329","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iE2348C_1286","fba","published","w[ace,R] / w[glu,F]"
0.43910561462785,"303.429_PID_iAF1260","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEC042_1314","fba","published","w[ace,R] / w[glu,F]"
0.390081090493542,"303.429_PID_iYS1720","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"303.429_PID_iECOK1_1307","fba","published","w[ace,R] / w[glu,F]"
0.40788885314464,"303.429_PID_STM_v1_0","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iETEC_1333","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEC55989_1330","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"303.429_PID_iEC1368_DH5a","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECB_1328","fba","published","w[ace,R] / w[glu,F]"
0.271712742791962,"303.429_PID_iECD_1391","fba","published","w[ace,R] / w[glu,F]"
0.3527348943318,"303.429_PID_iG2583_1286","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iY75_1357","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECNA114_1301","fba","published","w[ace,R] / w[glu,F]"
0.216561023192518,"303.429_PID_iECBD_1354","fba","published","w[ace,R] / w[glu,F]"
0.43910561462785,"303.429_PID_iAF1260b","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEcE24377_1341","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECSE_1348","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECSP_1301","fba","published","w[ace,R] / w[glu,F]"
0.3527348943318,"303.429_PID_iECH74115_1262","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECSF_1327","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"303.429_PID_iECDH1ME8569_1439","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"303.429_PID_iEC1344_C","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"303.429_PID_iUMNK88_1353","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iNRG857_1313","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEKO11_1354","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"303.429_PID_iECP_1309","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECs_1301","fba","published","w[ace,R] / w[glu,F]"
0.378086479511918,"303.429_PID_iEC1349_Crooks","fba","published","w[ace,R] / w[glu,F]"
0.373078007910112,"303.429_PID_iYL1228","fba","published","w[ace,R] / w[glu,F]"
0.465665597643143,"303.429_PID_iML1515","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"303.429_PID_iUTI89_1310","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECO103_1326","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECO26_1355","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"303.429_PID_iUMN146_1321","fba","published","w[ace,R] / w[glu,F]"
0.414158748426639,"303.429_PID_iSDY_1059","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iECW_1372","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEcDH1_1363","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"303.429_PID_iECS88_1305","fba","published","w[ace,R] / w[glu,F]"
0.139757839230296,"303.429_PID_iEC1356_Bl21DE3","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEcSMS35_1347","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEcolC_1368","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iZ_1308","fba","published","w[ace,R] / w[glu,F]"
0.373267999026602,"76869.5_PID_iECED1_1282","fba","published","w[ace,R] / w[glu,F]"
0.378886448142771,"76869.5_PID_iEC1364_W","fba","published","w[ace,R] / w[glu,F]"
0.389194431123019,"76869.5_PID_iJO1366","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iLF82_1304","fba","published","w[ace,R] / w[glu,F]"
0.368604970233119,"76869.5_PID_e_coli_core","fba","published","w[ace,R] / w[glu,F]"
0.402515209804,"76869.5_PID_iJR904","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iWFL_1372","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"76869.5_PID_iEcHS_1320","fba","published","w[ace,R] / w[glu,F]"
0.37616629706161,"76869.5_PID_iECIAI39_1322","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECO111_1330","fba","published","w[ace,R] / w[glu,F]"
0.271712742791962,"76869.5_PID_iB21_1397","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"76869.5_PID_iEC1372_W3110","fba","published","w[ace,R] / w[glu,F]"
0.389845217259026,"76869.5_PID_iECIAI1_1343","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"76869.5_PID_iAPECO1_1312","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECABU_c1320","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iBWG_1329","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iE2348C_1286","fba","published","w[ace,R] / w[glu,F]"
0.43910561462785,"76869.5_PID_iAF1260","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEC042_1314","fba","published","w[ace,R] / w[glu,F]"
0.390081090493542,"76869.5_PID_iYS1720","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"76869.5_PID_iECOK1_1307","fba","published","w[ace,R] / w[glu,F]"
0.40788885314464,"76869.5_PID_STM_v1_0","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iETEC_1333","fba","published","w[ace,R] / w[glu,F]"
