"Transfer","repb","dila_ord","dilp_ord","outcome"
12,2,"-2","0","K+P"
12,1,"-3","-","K+A"
12,2,"-3","-","K+A"
12,1,"-3","-1","K+P"
12,2,"-3","-1","K+P"
12,1,"-3","-2","K+A"
12,2,"-3","-2","K+A"
12,1,"-3","-3","K+A"
12,2,"-3","-3","K+A"
12,1,"-3","-4","K+A"
12,2,"-3","-4","K+A"
12,1,"-3","0","K+P+A"
12,2,"-3","0","K+P"
12,1,"-4","-","K+A"
12,2,"-4","-","K+A"
12,1,"-4","-1","K+P"
12,2,"-4","-1","K+P"
12,1,"-4","-2","K+P"
12,2,"-4","-2","K+A"
12,1,"-4","-3","K+A"
12,2,"-4","-3","K+A"
12,1,"-4","-4","K+A"
12,2,"-4","-4","K+A"
12,1,"-4","0","K+P"
12,2,"-4","0","K+P"
12,1,"0","-","K+A"
12,2,"0","-","K+A"
12,1,"0","-1","K+A"
12,2,"0","-1","K+A"
12,1,"0","-2","K+A"
12,2,"0","-2","K+A"
12,1,"0","-3","K+A"
12,2,"0","-3","K+A"
12,1,"0","-4","K+A"
12,2,"0","-4","K+A"
12,1,"0","0","K+A"
12,2,"0","0","K+A"
