"Experiment","w_ratio","rf_pair","type"
"empir_calc",0.101523835691811,"272_364","emp"
"empir_calc",0.128724570116081,"272_435","emp"
"empir_calc",0.119479909869406,"272_438","emp"
"empir_calc",0.108775198976147,"272_439","emp"
"empir_calc",0.0941715235102822,"272_440","emp"
"empir_calc",0.0824708554902549,"272_442","emp"
"empir_calc",0.0785361724898463,"272_448","emp"
"empir_calc",0.153847290540545,"272_458","emp"
"empir_calc",0.148081414185303,"272_460","emp"
"empir_calc",0.0957045455858129,"272_461","emp"
"empir_calc",0.504100606532955,"274_160","emp"
"empir_calc",0.873904123196589,"274_165","emp"
"empir_calc",0.648871942869962,"274_169","emp"
"empir_calc",0.61879354830072,"274_259","emp"
"empir_calc",0.556120812498603,"274_269","emp"
"empir_calc",0.762179092276541,"274_270","emp"
"empir_calc",0.553401372994893,"274_273","emp"
"empir_calc",0.519712961387069,"274_276","emp"
"empir_calc",0.777804744033536,"274_277","emp"
"empir_calc",0.657234765880122,"274_278","emp"
"empir_calc",0.500754778600599,"274_280","emp"
"empir_calc",0.468615262722979,"274_283","emp"
"empir_calc",0.567858994907198,"274_284","emp"
"empir_calc",0.828073941946926,"274_286","emp"
"empir_calc",0.592516148031697,"274_287","emp"
"empir_calc",0.641193101389182,"274_288","emp"
"empir_calc",0.657394287244631,"274_289","emp"
"empir_calc",0.463813870845955,"274_295","emp"
"empir_calc",0.440352465011323,"274_303","emp"
"empir_calc",0.454500327919933,"274_305","emp"
"empir_calc",0.488857812344767,"274_308","emp"
"empir_calc",0.423859871428192,"274_310","emp"
"empir_calc",0.506006581241436,"274_311","emp"
"empir_calc",0.468615262722979,"274_317","emp"
"empir_calc",0.437797236972386,"274_320","emp"
"empir_calc",0.419927956775363,"274_322","emp"
"empir_calc",0.493760186216903,"274_327","emp"
"empir_calc",0.813008461053272,"274_332","emp"
"empir_calc",0.484670595512403,"274_338","emp"
"empir_calc",0.520324505024977,"274_340","emp"
"empir_calc",0.256402648244126,"274_343","emp"
"empir_calc",0.480554499100138,"274_345","emp"
"empir_calc",0.661064779482904,"274_346","emp"
"empir_calc",0.714086689971514,"274_348","emp"
"empir_calc",0.536353461117535,"274_356","emp"
"empir_calc",0.512084086221109,"274_358","emp"
"empir_calc",0.496362195182104,"274_360","emp"
"empir_calc",0.558380880566884,"274_364","emp"
"empir_calc",0.707984862098832,"274_435","emp"
"empir_calc",0.657139250387012,"274_438","emp"
"empir_calc",0.598263363221593,"274_439","emp"
"empir_calc",0.517943179192135,"274_440","emp"
"empir_calc",0.453589529945895,"274_442","emp"
"empir_calc",0.431948781804846,"274_448","emp"
"empir_calc",0.846159771047619,"274_458","emp"
"empir_calc",0.814447463346272,"274_460","emp"
"empir_calc",0.526374797349883,"274_461","emp"
"empir_calc",0.302460379501065,"290_160","emp"
"empir_calc",0.524342500929536,"290_165","emp"
"empir_calc",0.38932318577802,"290_169","emp"
"empir_calc",0.371276148106779,"290_259","emp"
"empir_calc",0.333672504688351,"290_269","emp"
"empir_calc",0.457307478924188,"290_270","emp"
"empir_calc",0.33204084090207,"290_273","emp"
"empir_calc",0.311827792896097,"290_276","emp"
"empir_calc",0.46668287046136,"290_277","emp"
"empir_calc",0.394340879842603,"290_278","emp"
"empir_calc",0.300452882638235,"290_280","emp"
"empir_calc",0.28116917211826,"290_283","emp"
"empir_calc",0.340715414496325,"290_284","emp"
"empir_calc",0.496844390763169,"290_286","emp"
"empir_calc",0.355509707133155,"290_287","emp"
"empir_calc",0.384715880652206,"290_288","emp"
"empir_calc",0.394436592666239,"290_289","emp"
"empir_calc",0.278288336843638,"290_295","emp"
"empir_calc",0.264211492617689,"290_303","emp"
"empir_calc",0.272700210800152,"290_305","emp"
"empir_calc",0.293314702517011,"290_308","emp"
"empir_calc",0.254315935958039,"290_310","emp"
"empir_calc",0.303603964385066,"290_311","emp"
"empir_calc",0.28116917211826,"290_317","emp"
"empir_calc",0.262678355715346,"290_320","emp"
"empir_calc",0.25195678704481,"290_322","emp"
"empir_calc",0.296256126991821,"290_327","emp"
"empir_calc",0.487805101761316,"290_332","emp"
"empir_calc",0.29080237228817,"290_338","emp"
"empir_calc",0.312194719097744,"290_340","emp"
"empir_calc",0.153841596871649,"290_343","emp"
"empir_calc",0.288332714313586,"290_345","emp"
"empir_calc",0.396638888122655,"290_346","emp"
"empir_calc",0.42845203605468,"290_348","emp"
"empir_calc",0.321812093248719,"290_356","emp"
"empir_calc",0.30725046756072,"290_358","emp"
"empir_calc",0.297817332451367,"290_360","emp"
"empir_calc",0.335028545599176,"290_364","emp"
"empir_calc",0.424790939142469,"290_435","emp"
"empir_calc",0.394283570543785,"290_438","emp"
"empir_calc",0.358958036424733,"290_439","emp"
"empir_calc",0.310765923524434,"290_440","emp"
"empir_calc",0.272153731987578,"290_442","emp"
"empir_calc",0.259169282434053,"290_448","emp"
"empir_calc",0.507695888782602,"290_458","emp"
"empir_calc",0.488668503181595,"290_460","emp"
"empir_calc",0.315824894679697,"290_461","emp"
"empir_calc",0.119151075116941,"294_160","emp"
"empir_calc",0.206559195681496,"294_165","emp"
"empir_calc",0.153369761123507,"294_169","emp"
"empir_calc",0.146260321054856,"294_259","emp"
"empir_calc",0.131446762502127,"294_269","emp"
"empir_calc",0.180151456077384,"294_270","emp"
"empir_calc",0.130803985769897,"294_273","emp"
"empir_calc",0.12284126878437,"294_276","emp"
"empir_calc",0.183844792649728,"294_277","emp"
"empir_calc",0.155346428756436,"294_278","emp"
"empir_calc",0.118360242909779,"294_280","emp"
"empir_calc",0.110763628621028,"294_283","emp"
"empir_calc",0.134221242508255,"294_284","emp"
"empir_calc",0.195726605325657,"294_286","emp"
"empir_calc",0.14004929799169,"294_287","emp"
"empir_calc",0.15155476188282,"294_288","emp"
"empir_calc",0.155384133813401,"294_289","emp"
"empir_calc",0.109628753961503,"294_295","emp"
"empir_calc",0.104083329709433,"294_303","emp"
"empir_calc",0.107427370669355,"294_305","emp"
"empir_calc",0.115548232168983,"294_308","emp"
"empir_calc",0.100185079575571,"294_310","emp"
"empir_calc",0.119601578315545,"294_311","emp"
"empir_calc",0.110763628621028,"294_317","emp"
"empir_calc",0.103479366603531,"294_320","emp"
"empir_calc",0.0992557177535831,"294_322","emp"
"empir_calc",0.116706975304619,"294_327","emp"
"empir_calc",0.192165672800742,"294_332","emp"
"empir_calc",0.114558526183991,"294_338","emp"
"empir_calc",0.122985815489915,"294_340","emp"
"empir_calc",0.0606042738397725,"294_343","emp"
"empir_calc",0.11358563048331,"294_345","emp"
"empir_calc",0.156251704871104,"294_346","emp"
"empir_calc",0.168784158824934,"294_348","emp"
"empir_calc",0.126774478559706,"294_356","emp"
"empir_calc",0.121038079765795,"294_358","emp"
"empir_calc",0.117321995722468,"294_360","emp"
"empir_calc",0.131980960510785,"294_364","emp"
"empir_calc",0.167341908326152,"294_435","emp"
"empir_calc",0.155323852362861,"294_438","emp"
"empir_calc",0.141407730931325,"294_439","emp"
"empir_calc",0.122422956549637,"294_440","emp"
"empir_calc",0.107212091107271,"294_442","emp"
"empir_calc",0.102097004210083,"294_448","emp"
"empir_calc",0.200001438471663,"294_458","emp"
"empir_calc",0.192505800680147,"294_460","emp"
"empir_calc",0.124415884856906,"294_461","emp"
"empir_calc",0.256633072881649,"304_160","emp"
"empir_calc",0.444896708382005,"304_165","emp"
"empir_calc",0.330334854684445,"304_169","emp"
"empir_calc",0.315022215251731,"304_259","emp"
"empir_calc",0.283116090628282,"304_269","emp"
"empir_calc",0.388018502660317,"304_270","emp"
