seq,isolate,csource,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
360,11.6.A.5,succinate,0.020942997,0.270625209,0.083333333,2.25,0.008000518,0.397306306,0.012097698,0.435953059
364,1.2.A.5,Dlactate,0.142824803,0.585331837,5.598652285,16.91666667,5.314955554,15.17044681,0.088303812,0.517673109
364,1.2.A.5,succinate,0.009949028,0.303239324,0.5,6.166666667,0.407275595,4.060331698,0.015455024,0.45946749
428,1.2.A.3,Dlactate,0.066494993,0.646321963,1.38673444,8.875,1.516002261,7.545905936,0.040123662,0.751266494
428,1.2.A.3,succinate,0.025319657,0.372067365,0.583333333,6.75,0.572038283,4.391498848,0.009842919,0.460078683
432,1.2.B.6,Dlactate,0.104525322,0.87847798,0,3.666666667,0.095789463,2.878193236,0.042134058,0.65735833
432,1.2.B.6,succinate,0.032791282,0.57400225,0,7.5,0.245422536,5.381526081,0.006579259,0.491900381
435,1.4.A.5,Dlactate,0.007678102,0.365193288,0.83055091,20.5,0.782454376,18.35166041,0.008718461,0.381342758
435,1.4.A.5,succinate,0.005543274,0.266078895,0.666666667,5.5,0.028956512,3.064090689,0.023407492,0.526282916
438,1.6.A.5,Dlactate,0.030798307,0.328994045,0,1.166666667,0.369612304,0.092800979,0.017870456,0.203018344
438,1.6.A.5,succinate,0.042457736,0.459896529,0,4.666666667,0.099204556,3.64708596,0.015685014,0.506071828
439,1.6.A.6,Dlactate,0.03633401,0.352457207,0.314576435,2.208333333,0.258387927,1.445843553,0.009774344,0.519727925
439,1.6.A.6,succinate,0.03613525,0.395158495,0.25,5.916666667,0.295506042,4.234169156,0.001509001,0.380323973
440,1.7.A.1,Dlactate,0.04664803,0.353251478,0.184779649,1.791666667,0.147251951,0.556722218,0.016966952,0.49380015
440,1.7.A.1,succinate,0.037645465,0.209102879,1.583333333,2.75,1.384412526,2.219044616,0.028018599,0.245574315
441,1.7.A.1.2,Dlactate,0.160325785,1.009212379,0.041666667,2.291666667,0.100500929,1.759089689,0.017900359,0.812269848
441,1.7.A.1.2,succinate,0.005036167,0.178363235,0.166666667,3,0.173446674,2.22242215,0.03128004,0.6687775
442,1.7.A.5,Dlactate,0.060586454,0.179591548,,,,,,
442,1.7.A.5,succinate,0.006527884,0.153989774,1.583333333,2.75,0.974816182,1.247375635,0.100630956,0.365937414
444,2.8.B.2,Dlactate,0.062845132,0.388728851,0.275336494,5.791666667,0.352632891,4.770128385,0.059159666,0.590584629
444,2.8.B.2,succinate,0.099022761,0.332687248,0.166666667,5.166666667,0.526612142,3.439934186,0.042729185,0.447436301
448,8.5.B.2,Dlactate,0.089009635,0.516538621,0.208333333,1.375,0.082037091,0.439755461,0.003609007,0.52192263
448,8.5.B.2,succinate,0.0238984,0.336128981,0.166666667,3.166666667,0.116326509,1.747164829,0.042749739,0.377379733
449,8.5.B.3,Dlactate,0.004252926,0.401626727,1.089459176,9.375,0.983223246,7.37966278,0.044978956,0.702178985
449,8.5.B.3,succinate,0.031986226,0.636207711,0,5.333333333,0.032564282,4.510174287,0.007985524,0.425430446
452,11.1.A.2,Dlactate,0.036573216,0.175953635,2.059727373,4.875,1.577254547,1.565381322,0.030288454,0.211020614
453,11.2.A.2,Dlactate,0.050800004,0.582350136,0,1.166666667,0.09279009,0.420557939,0.044944251,0.692124387
453,11.2.A.2,succinate,0.113825427,0.174538921,0,1.166666667,0.165344121,0.25954181,0.199262459,0.633600666
454,11.2.B.4.1,Dlactate,0.073424605,0.622276766,0.125,1.291666667,0.143652958,0.506584339,0.012961129,0.798081161
454,11.2.B.4.1,succinate,0.050886082,0.384069916,0,1.166666667,0.190095715,0.437532034,0.005815324,0.343553049
458,11.2.B.7,Dlactate,0.070869279,0.4420866,0.125,1.291666667,0.130174237,0.646296145,0.025112214,0.164536127
458,11.2.B.7,succinate,0.040553261,0.509705899,0.5,7,0.446295266,5.782379786,0.010730967,0.493562172
460,11.2.B.8.2,Dlactate,0.012833741,0.204061058,0.079785592,7.541666667,0.129257973,5.026786535,0.03252897,0.411681828
460,11.2.B.8.2,succinate,0.002224549,0.71481728,0.25,4.416666667,0.204460824,3.612403331,0.001233389,0.477308287
461,11.1.C.1,Dlactate,0.103311696,0.54679734,0.25,1.416666667,0.119206317,0.527289536,0.01384392,0.561639941
461,11.1.C.1,succinate,0.085563119,0.156070486,4.416666667,5.583333333,1.741518603,1.889668439,0.154956199,0.559149997
462,11.5.B.2,Dlactate,0.147223653,0.621292497,0.068041382,2.5,0.057492059,1.985081427,0.087565255,0.861976478
462,11.5.B.2,succinate,0.107803496,0.78355939,0.5,6,0.570786513,4.893645571,0.005277733,0.692506092
160,2.4.Ent,acetate,0.066463729,0.303360504,1.25,3.583333333,0.622910013,1.613595886,0.015823217,0.272073872
165,2.4.Rlt,acetate,0.001519238,0.369916523,0.083333333,19.58333333,0.173354501,17.14306693,0.0080674,0.197506794
169,2.4.Cit,acetate,0,0,,,,,,
259,1.2.A.1,acetate,0.022793616,0.156454013,0.416666667,6.75,0.082952993,2.593598723,0.029469409,0.19922737
267,1.4.A.1,acetate,0.002927884,0.311733074,0.666666667,39.33333333,0.589289587,36.17195826,0.007484656,0.549427589
269,1.4.A.3,acetate,0.000652427,0.12844312,2.416666667,14.58333333,2.229271653,8.602749141,0.00935405,0.171130572
270,1.4.B.4,acetate,0.008861467,0.178918201,0.166666667,6.333333333,0.092211832,2.74399294,0.001586494,0.235609226
272,1.6.A.1,acetate,0.032975582,0.23865306,1.75,12.58333333,1.503788978,9.279006298,0.00600044,0.543777114
273,1.6.A.2,acetate,4.15E-05,0.149242198,0.25,8.083333333,0.431099568,3.227813639,0.00366135,0.146126118
274,1.6.A.4,acetate,0.042809974,0.17933414,1.5,14.33333333,1.925781143,11.21560573,0.03250814,0.424281058
276,2.6.A.1,acetate,0.015629311,0.105925458,1.333333333,7.333333333,1.393513901,2.210681204,0.003622525,0.184639473
277,2.6.A.2,acetate,0,0,,,,,,
278,2.6.A.3,acetate,0,0,,,,,,
280,11.2.B.2,acetate,0.003295837,0.100784398,1.083333333,13.08333333,0.737857836,7.18857645,0.016249464,0.125665125
283,1.7.A.3,acetate,0.047595822,0.335159464,5,17.16666667,5.187803416,14.46125475,0.013127372,0.418804555
284,1.7.A.4,acetate,0.011570295,0.281689874,1.583333333,13.58333333,1.478421673,10.58991789,0.006117315,0.476328475
286,1.7.B.3,acetate,0.00354233,0.172389063,0.083333333,6.416666667,0.007976697,2.576805427,0.0019631,0.189040636
287,1.7.B.4,acetate,0.009727317,0.164726519,0.083333333,11.41666667,0.247253603,6.971682608,0.020583154,0.470705948
288,2.8.A.1,acetate,0.002199125,0.164325277,0.666666667,11.33333333,0.749411006,6.62175013,0.025167933,0.309057051
289,2.8.A.2,acetate,0.010426934,0.336787375,1.166666667,2.333333333,0.774712459,1.281312371,0.011136009,0.294250374
290,2.8.A.3,acetate,0.020548785,0.143653003,10.33333333,17.83333333,8.721051723,12.08870888,0.008881986,0.273838792
294,4.1.A.1,acetate,0.001612399,0.366792718,0.416666667,15.75,0.377301186,13.63890915,0.004140018,0.341965579
295,4.1.A.2,acetate,0.017093693,0.21954057,3,7.166666667,2.35787441,3.350710348,0.004963811,0.380497041
303,7.1.A.1,acetate,0,0,,,,,,
305,7.1.A.3,acetate,0,0,,,,,,
308,7.1.B.2,acetate,0,0,,,,,,
310,8.2.A.1,acetate,0.001544972,0.210505223,1,9,0.918395393,5.371360608,0.010983353,0.315058769
311,8.2.A.2,acetate,0.000427866,0.198074987,0.916666667,13.08333333,0.901605925,8.752008683,0.006041906,0.234420005
317,8.4.A.2,acetate,0.004652095,0.194286487,3.166666667,9.833333333,2.56944853,5.73572735,0.001907113,0.332173068
320,8.5.A.1,acetate,0.017057113,0.227226726,1.166666667,7.666666667,1.00664775,4.687020981,0.00507428,0.299615426
321,8.5.A.2,acetate,0.008676354,0.271238162,1.25,20.58333333,1.29140027,17.3084811,0.02093153,0.348611877
322,8.5.A.3,acetate,0.007732365,0.208329607,0.75,8.083333333,0.829395119,4.70196528,0.019272612,0.266174589
325,8.5.C.5,acetate,0.011431861,0.283683251,0.833333333,21,0.662299484,17.80247329,0.015157683,0.363030461
326,10.2.A.1,acetate,0.114904923,0.335954973,4.916666667,12.41666667,5.537418357,9.872141139,0.0269603,0.379331192
327,10.2.A.2,acetate,0.002946542,0.180558139,0.75,8.416666667,0.64692838,4.576696077,0.008597293,0.199856845
332,11.1.A.4,acetate,0.002492802,0.105520578,1.083333333,39.58333333,0.961201874,32.27381689,0.004814687,0.072648948
338,11.1.B.1,acetate,0.006005382,0.16515024,0.666666667,8.333333333,0.442938196,4.261535563,0.001827476,0.164967926
340,11.1.B.3,acetate,0.070539286,0.284046029,2.333333333,7.5,1.494301934,4.766701919,0.002437113,0.37041215
342,11.1.C.3,acetate,0.044824115,0.341804267,9.25,21.75,9.203817263,19.04806643,0.308509697,0.598686029
343,11.2.A.1,acetate,0.111664543,0.231281121,5.583333333,29.08333333,6.798147377,25.24079811,0.062921355,0.158285035
345,11.2.A.3.2,acetate,0.005160877,0.208051991,0.5,9.666666667,0.566940218,6.126525749,0.020592951,0.411613148
346,11.2.B.1,acetate,0.006316724,0.134905461,0.5,10.5,0.344638817,5.632108133,0.016573736,0.224724638
348,11.2.B.3,acetate,0.025301143,0.225228019,2.5,41.16666667,1.914526335,37.00812094,0.001819752,0.120969355
350,11.2.B.6,acetate,0.002246929,0.530421167,0.75,8.416666667,0.634953457,6.408533585,0.00942827,0.485264405
356,11.5.B.3,acetate,0.051690545,0.302973385,2.5,5.333333333,2.266946081,2.302476266,0.175347609,0.55508956
358,11.6.A.3,acetate,0.010090391,0.214678786,1,10,1.144874595,6.264185869,0.016331929,0.390124249
360,11.6.A.5,acetate,0.089037362,0.355893875,0.333333333,1.833333333,0.066441818,0.280804463,0.004576702,0.435551067
364,1.2.A.5,acetate,0.032619351,0.264868961,0.833333333,17.33333333,1.708844652,13.16289455,0.002943007,0.388979727
428,1.2.A.3,acetate,0.032671516,0.413907586,0.5,16.5,0.356895943,13.79134211,0.002591631,0.438060679
435,1.4.A.5,acetate,0.01110626,0.184322207,0.5,6.833333333,0.345387121,3.356884797,0.016403613,0.268899159
438,1.6.A.5,acetate,0.002121611,0.101303997,0.083333333,15.58333333,0.069050664,9.279953921,0.008096944,0.109736378
439,1.6.A.6,acetate,0.01650859,0.213834655,0.166666667,6.5,0.076209061,3.168491082,0.016923447,0.247684493
441,1.7.A.1.2,acetate,0.002686546,0.207219463,0.166666667,40,0.212110459,35.63656963,0.004922099,0.212745357
442,1.7.A.5,acetate,0.005026758,0.110925778,1,6.666666667,0.693338877,1.28866763,0.00015389,0.161471381
444,2.8.B.2,acetate,0.006695027,0.141953854,10.08333333,17.41666667,8.706558219,11.85535942,0.019586702,0.274604943
448,8.5.B.2,acetate,0.000322481,0.192776246,0.75,7.416666667,0.932765038,3.89159213,0.012427231,0.253415529
449,8.5.B.3,acetate,0.001776136,0.32232522,0.916666667,24.08333333,0.825752611,21.22445266,0.011860542,0.365749742
452,11.1.A.2.1,acetate,0,0,,,,,,
453,11.2.A.2,acetate,0.039131481,0.849711341,0.166666667,3.166666667,0.211798582,2.390391428,0.003593221,0.731864205
454,11.2.B.4.1,acetate,0.007476048,0.857099103,0.083333333,3.416666667,0.06982102,2.541556787,0.002215183,0.68861662
460,11.2.B.8.2,acetate,0.100575453,0.17270347,4.583333333,34.08333333,6.861494638,28.35883268,0.024615271,0.092022456
461,11.1.C.1,acetate,0.011064376,0.213741304,0.25,9.416666667,0.007714726,5.766234531,0.006583204,0.383379668
462,11.5.B.2,acetate,0.042417687,0.295953078,4.25,15.58333333,4.297901651,12.84515416,0.080724729,0.514370627
304,7.1.A.2,acetate,0.022567767,0.181738147,0.666666667,16.5,0.942119429,12.59916997,0.011534775,0.172343949
316,8.4.A.1,acetate,0.012972986,0.230477608,1.333333333,11,1.206095754,7.802230164,0.017191515,0.217558124
335,11.1.A.1,acetate,0.009473683,0.365342456,1.583333333,17.08333333,1.452007687,14.58687579,0.012932489,0.219037579
336,11.1.A.3,acetate,0.089950822,0.721295286,0.25,1.916666667,0.091799699,1.080076798,0.018361507,0.614507322
344,11.2.A.3,acetate,0.040317957,0.299348347,1.166666667,9.666666667,1.263210648,7.608561178,0.000435517,0.179281739
352,11.5.A.1,acetate,0.063760738,0.549471989,0.333333333,8.5,0.251151874,7.34977089,0.003201154,0.49460944
432,1.2.B.6,acetate,0.039381012,0.63871565,0.416666667,9.083333333,0.103462852,7.480859055,0.001878739,0.407495137
440,1.7.A.1,acetate,0.011512154,0.149796715,0.416666667,6.583333333,0.035983037,3.287672167,0.014197252,0.225869247
458,11.2.B.7,acetate,0.032135368,0.625685019,0.583333333,14.08333333,0.590937629,12.70415918,0.009495717,0.382995034
160,2.4.Ent,glucose,0.066886955,1.034093855,0.083333333,2.416666667,0.05469219,1.68747375,0.003777936,0.557497036
165,2.4.Rlt,glucose,0.04890687,0.825327962,0.416666667,2.916666667,0.318767988,2.083990646,0.006286997,0.503782456
169,2.4.Cit,glucose,0.000798197,0.883095596,0.083333333,9.583333333,0.078300713,8.732679609,0.012314428,0.569374672
259,1.2.A.1,glucose,0.041645303,1.19818558,0.083333333,9.75,0.071033879,9.122624194,0.001545886,0.544052465
267,1.4.A.1,glucose,0.093979912,0.681387066,0.166666667,5.833333333,0.168103604,4.830837744,0.005281826,0.256513649
269,1.4.A.3,glucose,0.026360742,0.65998484,0.083333333,3.25,0.119700389,2.128153556,0.000582717,0.451725837
270,1.4.B.4,glucose,0.009119516,0.936462651,0.083333333,7.083333333,0.08365125,6.355371576,0.004272024,0.566365775
272,1.6.A.1,glucose,0.073946405,0.250700647,4.583333333,6.75,3.620539662,5.182634655,0.050139289,0.951317669
273,1.6.A.2,glucose,0.060808134,0.544503311,0.416666667,3.916666667,0.452987948,2.482848165,0.029370054,0.561180261
274,1.6.A.4,glucose,0.00832187,0.360285844,0.916666667,5.416666667,0.743757079,3.843883905,0.006834565,0.229768841
276,2.6.A.1,glucose,0.072628953,0.953891358,0.25,2.75,0.234810717,2.002705492,0.008531482,0.58814559
277,2.6.A.2,glucose,0.016242318,0.760386082,0,2.5,0.095693124,1.409015427,0.019485014,0.657128119
278,2.6.A.3,glucose,0.095440197,0.943012421,0.583333333,8.916666667,0.508133807,8.151648422,0.006060692,0.57513262
280,11.2.B.2,glucose,0.01805107,0.592003509,0,2.333333333,0.031989215,1.173457604,0.003333113,0.559413209
283,1.7.A.3,glucose,0.091074199,0.813883816,0.166666667,2.666666667,0.036947603,1.895244447,0.002129716,0.50767284
284,1.7.A.4,glucose,0.060321346,0.317415729,2.75,7.25,2.42899817,5.649412365,0.04905891,0.759476859
286,1.7.B.3,glucose,0.005417569,0.76997035,0.083333333,5.583333333,0.092237937,4.659472807,0.000834934,0.452285085
287,1.7.B.4,glucose,0.053968823,0.463091014,0.083333333,2.416666667,0.071922002,1.40506813,0.006256869,0.847278025
